optimizer,lr,lr_scheduler,dropout,hidden_layers,hidden_size,normalization,batch_size,num_epochs,patience,val_loss,val_loss_std,strain_f1,strain_f1_std
adam,0.002,exponential,0.1,3,64,batch,32,100,5,0.06597528648045328,0.007811022728990926,0.5890355849478783,0.01024537741235063
nadam,0.002,reduce_on_plateau,0.2,1,32,layer,8,100,5,0.06269513558596372,0.005227984232751329,0.6080161093168177,0.01954182967911846
nadam,0.001,exponential,0.1,3,2048,batch,8,100,5,0.06623306342267564,0.010836728514735454,0.5782800835108899,0.036036240644938
adam,0.01,reduce_on_plateau,0,3,512,layer,8,100,5,0.06489037310039358,0.010153575585498042,0.5609049171078528,0.028795627992279083
adamW,0.002,reduce_on_plateau,0.2,2,2048,batch,8,100,5,0.06309286519885063,0.004935526962422069,0.5972247120447299,0.018009013324639358
adam,0.01,reduce_on_plateau,0.1,2,64,layer,8,100,5,0.06113268278273089,0.012978978785888549,0.6052176626781226,0.02531950961576854
adam,0.002,reduce_on_plateau,0,2,256,batch,16,100,5,0.06311778649687767,0.006944032269994492,0.5784815005827862,0.0030943931150202537
adam,0.01,reduce_on_plateau,0.1,3,1024,batch,16,100,5,0.0673183730079068,0.007536347050628976,0.5789528424253567,0.03727171055885403
adamW,0.0003,reduce_on_plateau,0,3,512,layer,8,100,5,0.06061732573700803,0.004236005150980518,0.5961242475953893,0.028497924083866248
adamW,0.01,reduce_on_plateau,0,3,64,layer,32,100,5,0.06265464040140312,0.004472701645220474,0.5968051606237299,0.03274806438313656
adam,0.002,reduce_on_plateau,0.2,2,64,layer,32,100,5,0.06548729559613599,0.007821029565029267,0.5986875121170049,0.011368087752219402
nadam,0.001,reduce_on_plateau,0.2,2,2048,layer,16,100,5,0.060992038425885964,0.004777177655422269,0.6058806143911142,0.015160301294938906
adamW,0.01,reduce_on_plateau,0,1,2048,layer,8,100,5,0.06320813314989208,0.006298324500716021,0.572019004293477,0.022606617154706788
nadam,0.01,reduce_on_plateau,0.1,3,128,layer,32,100,5,0.062149866008096265,0.00791089758275457,0.6145812040861413,0.017401991452477592
adam,0.001,reduce_on_plateau,0.2,2,64,layer,32,100,5,0.06513000482486353,0.0073328563845405864,0.5892221125179592,0.012492246772424076
adam,0.001,reduce_on_plateau,0.1,3,64,layer,16,100,5,0.06134011745452881,0.005566794021632905,0.5972467473105303,0.016235156363798933
nadam,0.0003,reduce_on_plateau,0.2,2,256,layer,8,100,5,0.06548039077115911,0.005593177795023394,0.5868308249631207,0.023945076886031404
adam,0.002,reduce_on_plateau,0,3,1024,layer,8,100,5,0.06116865822247097,0.007603273280387973,0.6225488403834354,0.023373710826450754
adamW,0.0003,reduce_on_plateau,0.1,1,128,layer,16,100,5,0.062282176874578,0.004062795239447838,0.6000109176217874,0.016236328317981278
adam,0.001,reduce_on_plateau,0,3,1024,layer,16,100,5,0.05965304519567225,0.0025775154164219063,0.6055823808633947,0.025451320215060726
adam,0.0003,reduce_on_plateau,0,2,256,layer,8,100,5,0.06125534487622125,0.005706044390156383,0.600645017537807,0.011885133650007162
nadam,0.01,reduce_on_plateau,0.2,2,128,layer,16,100,5,0.061258292301661445,0.005799085005549081,0.5956229147482144,0.015078253483373147
nadam,0.001,reduce_on_plateau,0.1,1,128,layer,8,100,5,0.0606294102168509,0.007857594159615752,0.598090918453044,0.010174203201285793
adamW,0.01,reduce_on_plateau,0.2,1,128,layer,16,100,5,0.06443941559021671,0.006473739285801705,0.6036035468052784,0.01664150700460375
adamW,0.001,reduce_on_plateau,0.1,1,32,layer,16,100,5,0.06316867098212242,0.010222723631216731,0.6031019079702841,0.012512577114665403
adam,0.0003,reduce_on_plateau,0.2,1,256,layer,8,100,5,0.06376511375552842,0.004663599505152641,0.6004231802598065,0.022233907573655495
adam,0.001,reduce_on_plateau,0.1,1,32,layer,16,100,5,0.0602735833161407,0.0042816850013553355,0.6171307040197106,0.009290271165613971
adamW,0.01,reduce_on_plateau,0.2,2,32,layer,8,100,5,0.06454101890059454,0.006309639631359188,0.5934985927437414,0.017917861485822053
adam,0.002,reduce_on_plateau,0.1,1,64,layer,16,100,5,0.06131737670447264,0.010265077440575608,0.6188989100522366,0.03266965676551772
adam,0.01,reduce_on_plateau,0.1,3,512,layer,32,100,5,0.06931362131403554,0.005509273379087055,0.5355019721533696,0.06429653798595693
adam,0.002,reduce_on_plateau,0,2,64,layer,8,100,5,0.059323169871100354,0.007037505529317151,0.6109194393151351,0.025534369976046144
adam,0.002,reduce_on_plateau,0.1,2,32,layer,16,100,5,0.06155138266686764,0.004699714380570084,0.6061469259097633,0.021767795213855773
adamW,0.002,reduce_on_plateau,0.2,1,512,layer,16,100,5,0.06532935220748187,0.011920090996191542,0.5980113941037144,0.0061861851725952405
nadam,0.001,reduce_on_plateau,0,1,64,layer,32,100,5,0.06135390955540868,0.002963642122327212,0.60586235955739,0.03566863999872318
adamW,0.01,reduce_on_plateau,0.2,3,512,layer,16,100,5,0.06718338859371012,0.0029296355933701285,0.5572511769087851,0.039033694279350786
adamW,0.002,reduce_on_plateau,0,3,64,layer,16,100,5,0.060273320217513374,0.010168227730099564,0.6151460619460245,0.02492428603136554
nadam,0.0003,reduce_on_plateau,0.1,1,64,layer,8,100,5,0.06174723368936352,0.004458167748099059,0.6050335433294557,0.007166231072476902
nadam,0.0003,reduce_on_plateau,0,2,128,layer,16,100,5,0.060610906810810175,0.006858730126165938,0.6052809668308529,0.013686490911083971
nadam,0.01,reduce_on_plateau,0.2,2,256,layer,8,100,5,0.06454461563910756,0.010536168656071073,0.5957023322156089,0.01210627572615115
adam,0.002,reduce_on_plateau,0,1,1024,layer,16,100,5,0.06253050923761394,0.01452260600267064,0.5778723957401015,0.023819531679828806
nadam,0.0003,reduce_on_plateau,0,1,512,layer,32,100,5,0.05850546827746762,0.0072222787220437654,0.6127343755687449,0.02537652439842831
adamW,0.001,reduce_on_plateau,0,3,256,layer,32,100,5,0.06001111446983285,0.008193922590727345,0.6158928316242736,0.01548689582887841
adamW,0.001,reduce_on_plateau,0,3,128,layer,32,100,5,0.059358200058341026,0.002008272719597876,0.6148568799500476,0.013618505436359155
adamW,0.002,reduce_on_plateau,0.1,3,64,layer,8,100,5,0.06062633953988552,0.005438985313951331,0.5944549857468454,0.015001151216747574
adam,0.002,reduce_on_plateau,0.1,2,64,layer,8,100,5,0.06014480662665197,0.01051814737923745,0.6063163262309,0.0093332200322162
adam,0.0003,reduce_on_plateau,0.2,3,1024,layer,8,100,5,0.06328715872019529,0.007896803996052266,0.6133844289885702,0.018423279512848296
nadam,0.002,reduce_on_plateau,0,1,2048,layer,8,100,5,0.06410116075937237,0.008715203088751866,0.5754270358923582,0.014424075538054621
adamW,0.0003,reduce_on_plateau,0,1,2048,layer,8,100,5,0.06184222106156605,0.008818724512853557,0.5821161182008888,0.026853997588099195
adamW,0.001,reduce_on_plateau,0.2,1,2048,layer,8,100,5,0.0645116540896041,0.011636559940613226,0.5962337713947333,0.007622755977861786
adamW,0.001,reduce_on_plateau,0.2,3,1024,layer,32,100,5,0.06384407902757326,0.005646660163057719,0.5892859531664045,0.021888957435847012
nadam,0.01,reduce_on_plateau,0.2,1,32,layer,8,100,5,0.0639077705251319,0.0058288071776373485,0.5964614873683961,0.017346807749439763
nadam,0.01,reduce_on_plateau,0.2,3,64,layer,32,100,5,0.06649127205212911,0.011317541598119872,0.591103881356044,0.03073329149876369
adam,0.0003,reduce_on_plateau,0.2,1,128,layer,8,100,5,0.06490204815353665,0.007887814848295345,0.6004120631648652,0.018374606776380614
adamW,0.01,reduce_on_plateau,0.1,1,128,layer,32,100,5,0.06317704824937714,0.005615259260557607,0.604014223348824,0.017487089044462244
nadam,0.0003,reduce_on_plateau,0.1,1,64,layer,32,100,5,0.06278908120261298,0.008917941148903772,0.5943205163886349,0.018656116122437602
nadam,0.001,reduce_on_plateau,0,1,2048,layer,32,100,5,0.06136426420675384,0.0014550014363172398,0.5965033791143475,0.02656792961535616
adam,0.001,reduce_on_plateau,0.2,1,32,layer,16,100,5,0.06376246839968694,0.005388205068932509,0.6127642563683022,0.014848858891035955
adamW,0.002,reduce_on_plateau,0.1,2,1024,layer,16,100,5,0.06210606069200568,0.0074204714528422425,0.5923247631490642,0.015036268959405307
nadam,0.001,reduce_on_plateau,0.2,1,512,layer,8,100,5,0.06391762142734869,0.007882126911624507,0.6083684872832533,0.01297355300966711
adam,0.0003,reduce_on_plateau,0.2,3,64,layer,8,100,5,0.06749274098447391,0.004160155075488534,0.5430972045745405,0.02344576341627556
nadam,0.0003,reduce_on_plateau,0,3,2048,layer,16,100,5,0.05881260860607855,0.009789057838290729,0.5965219173702803,0.017826436488691713
nadam,0.01,reduce_on_plateau,0.2,1,32,layer,32,100,5,0.06500124765766992,0.004892278270954786,0.6121379385690874,0.022701606300933937
adam,0.01,reduce_on_plateau,0.1,2,512,layer,8,100,5,0.05964496521279215,0.007817882675058351,0.5995109089106734,0.008799686218212638
adam,0.001,reduce_on_plateau,0,2,128,layer,16,100,5,0.059691510173595606,0.009510671362733439,0.606710846063202,0.0050575006695428555
adam,0.01,reduce_on_plateau,0,1,32,layer,32,100,5,0.05983853489160538,0.0091656252754251,0.5995579395252134,0.0261529769166871
nadam,0.002,reduce_on_plateau,0.1,2,256,layer,32,100,5,0.060323664256268075,0.004889895789439393,0.6021483323868806,0.020384362188335944
