namespace	ncbi_taxid
entity_id	external_id	source
bac16894	1601	organism
bac16899	189426	organism
bac169	646	organism
bac16908	28447	organism
bac16913	53357	organism
bac16915	661492	organism
bac16917	83526	organism
bac16919	68569	organism
bac16944	490571	organism
bac16951	176102	organism
bac16957	68217	organism
bac16959	596085	organism
bac16961	404933	organism
bac16972	53344	organism
bac16973	283734	organism
bac16976	2023	organism
bac1698	241425	organism
bac170	642	organism
bac17048	106654	organism
bac17051	67825	organism
bac17064	403935	organism
bac17085	34085	organism
bac17093	357441	organism
bac171	56636	organism
bac17103	285453	organism
bac17107	407	organism
bac17109	162496	organism
bac17117	1421430	organism
bac17122	328301	organism
bac17128	489722	organism
bac17131	39490	organism
bac17133	87645	organism
bac17134	78057	organism
bac17141	1915	organism
bac17142	506591	organism
bac17149	1796606	organism
bac17157	53443	organism
bac17162	270351	organism
bac17163	1825523	organism
bac17195	38026	organism
bac172	56636	organism
bac17202	97050	organism
bac17207	204456	organism
bac17208	28100	organism
bac17209	106591	organism
bac17226	1718	organism
bac17228	1794699	organism
bac17251	338584	organism
bac17253	68249	organism
bac17255	113561	organism
bac17259	33902	organism
bac17260	1943	organism
bac17261	35797	organism
bac17281	76761	organism
bac17300	47854	organism
bac17302	297	organism
bac17312	76489	organism
bac17326	33002	organism
bac17330	44470	organism
bac17332	1109412	organism
bac17333	153496	organism
bac17335	720605	organism
bac17336	570	organism
bac17337	1137848	organism
bac17355	1381941	organism
bac17369	69369	organism
bac17371	2421	organism
bac17377	332249	organism
bac17378	1386092	organism
bac17379	307124	organism
bac17380	233316	organism
bac17381	468911	organism
bac17382	148604	organism
bac17383	104102	organism
bac17391	412963	organism
bac17395	13687	organism
bac17397	155863	organism
bac17415	2067569	organism
bac17422	1121832	organism
bac17423	168935	organism
bac17426	1123067	organism
bac17427	630403	organism
bac17428	947309	organism
bac17429	70993	organism
bac17430	148	organism
bac17431	446683	organism
bac17433	492736	organism
bac17434	505250	organism
bac17436	52023	organism
bac17437	218208	organism
bac17438	574930	organism
bac17439	103441	organism
bac17443	106	organism
bac17444	1027	organism
bac17445	1861	organism
bac17455	616992	organism
bac17459	34010	organism
bac17461	312026	organism
bac17462	342230	organism
bac17464	862720	organism
bac17465	407	organism
bac17471	263818	organism
bac17473	106589	organism
bac17478	1635171	organism
bac17479	1775474	organism
bac17480	243690	organism
bac17481	314235	organism
bac17482	78543	organism
bac17483	374424	organism
bac17484	767694	organism
bac17486	445960	organism
bac17487	600331	organism
bac17488	269660	organism
bac17489	374432	organism
bac17490	1010610	organism
bac17512	132920	organism
bac17513	82541	organism
bac17517	75612	organism
bac17519	555791	organism
bac17522	40988	organism
bac17526	67338	organism
bac17532	157592	organism
bac17533	465721	organism
bac17563	67385	organism
bac17565	654447	organism
bac17575	88190	organism
bac17577	29350	organism
bac17579	467094	organism
bac17588	1126833	organism
bac17590	97477	organism
bac17591	1631	organism
bac17594	1175444	organism
bac17595	33043	organism
bac17596	47500	organism
bac1760	2035	organism
bac17606	67283	organism
bac17607	212423	organism
bac17610	58290	organism
bac17617	138563	organism
bac17631	53335	organism
bac17637	565033	organism
bac17655	995066	organism
bac17661	84725	organism
bac17672	664683	organism
bac17673	45663	organism
bac17681	205889	organism
bac17686	82981	organism
bac1771	102234	organism
bac17710	574650	organism
bac17713	82116	organism
bac17716	125602	organism
bac17717	521377	organism
bac17733	76759	organism
bac17735	1177712	organism
bac17736	446692	organism
bac17769	54259	organism
bac17780	1031538	organism
bac17781	540251	organism
bac17799	88364	organism
bac17800	2226	organism
bac17801	122355	organism
bac17806	128574	organism
bac17815	68334	organism
bac17828	286	organism
bac17839	2322	organism
bac17853	235985	organism
bac17868	224537	organism
bac17886	450734	organism
bac17891	134534	organism
bac17892	108980	organism
bac17894	134533	organism
bac17903	1215089	organism
bac17919	1639	organism
bac17922	37925	organism
bac17929	234	organism
bac17934	47951	organism
bac17937	89065	organism
bac17958	286	organism
bac17964	2207	organism
bac17976	872	organism
bac17977	66881	organism
bac17981	279	organism
bac17986	582475	organism
bac17996	328225	organism
bac18003	230361	organism
bac18005	1197861	organism
bac18006	304207	organism
bac18007	164451	organism
bac18011	39484	organism
bac18012	576131	organism
bac18020	1427356	organism
bac18022	1384459	organism
bac18023	1774970	organism
bac18025	147645	organism
bac18028	646534	organism
bac18029	453584	organism
bac18030	1321365	organism
bac18041	2057004	organism
bac18046	535	organism
bac18047	359336	organism
bac18071	286802	organism
bac18085	990271	organism
bac18093	1124597	organism
bac18094	407	organism
bac18096	301375	organism
bac18101	219574	organism
bac18104	1379270	organism
bac18109	55206	organism
bac1811	29529	organism
bac18110	214856	organism
bac18113	981222	organism
bac1812	996	organism
bac18121	501592	organism
bac18124	945692	organism
bac18126	1522315	organism
bac18127	1773	synonym
bac1813	983	organism
bac18130	76022	organism
bac18133	137778	organism
bac1814	978	organism
bac18140	201975	organism
bac18144	43	organism
bac1815	990	organism
bac18154	340680	organism
bac18156	58347	organism
bac18157	292806	organism
bac18182	286	organism
bac18206	35619	organism
bac18214	225422	organism
bac1822	35754	organism
bac18225	169669	organism
bac1823	47849	organism
bac18287	1404341	organism
bac18292	1827	organism
bac18293	1134413	organism
bac18295	1176259	organism
bac18296	2059724	organism
bac18298	83451	organism
bac18299	1990687	organism
bac18300	72556	organism
bac18301	44752	organism
bac18308	1850238	organism
bac18315	88688	organism
bac18316	395599	organism
bac18321	51	organism
bac18322	1803913	organism
bac18323	2086571	organism
bac18324	37330	organism
bac18325	175628	organism
bac18346	42565	organism
bac18347	115561	organism
bac18362	2026188	organism
bac18363	1800	organism
bac18375	298654	organism
bac18376	876478	organism
bac18377	1148157	organism
bac18387	988	organism
bac18388	582667	organism
bac18395	54252	organism
bac18409	280332	organism
bac18410	64972	organism
bac18411	2681983	organism
bac18429	1716	organism
bac18441	1177982	organism
bac18447	1034015	organism
bac18451	1273541	organism
bac18452	469	organism
bac18464	192812	organism
bac18465	339866	organism
bac18466	34006	organism
bac18467	106633	organism
bac18470	81	organism
bac18471	392484	organism
bac18472	101564	organism
bac18485	43768	organism
bac18487	119977	organism
bac18488	1927129	organism
bac18489	1080712	organism
bac18490	872	organism
bac18492	1562	organism
bac18493	898	organism
bac18494	132132	organism
bac18500	660064	organism
bac18504	160799	organism
bac18510	1117645	organism
bac18511	652787	organism
bac18513	47678	organism
bac18515	286	organism
bac18516	32008	organism
bac1852	55583	organism
bac18523	1943631	organism
bac18524	2011015	organism
bac18529	115553	organism
bac1853	61435	organism
bac18537	674054	organism
bac18538	424795	organism
bac1854	66821	organism
bac18540	671622	organism
bac18541	33878	organism
bac18543	191391	organism
bac18544	792652	organism
bac18545	88382	organism
bac18546	155322	organism
bac18547	409290	organism
bac18548	409291	organism
bac18549	82977	organism
bac18550	1149133	organism
bac18554	321662	organism
bac18555	158897	organism
bac1856	1299	organism
bac18566	404770	organism
bac18567	395568	organism
bac18568	66892	organism
bac1857	32062	organism
bac1859	1298	organism
bac18613	2041	organism
bac18614	129337	organism
bac18615	129337	organism
bac18616	311460	organism
bac18618	284016	organism
bac18675	290112	organism
bac18677	108015	organism
bac18681	106589	organism
bac18682	1761772	organism
bac18683	858423	organism
bac18689	2654982	organism
bac18690	1247936	organism
bac18692	1701573	organism
bac18694	667676	organism
bac18697	1708715	organism
bac18698	68287	organism
bac18699	1525371	organism
bac18702	407	organism
bac18703	280333	organism
bac18704	374	organism
bac18708	67298	organism
bac18709	417292	organism
bac18711	68223	organism
bac18740	29330	organism
bac18742	246432	organism
bac1875	203699	organism
bac18755	497735	organism
bac18767	137730	organism
bac18768	360293	organism
bac18769	1376	organism
bac18771	723	organism
bac18775	119977	organism
bac18780	2051	organism
bac18784	223556	organism
bac18786	265	organism
bac18793	1854492	organism
bac18794	194424	organism
bac1880	49338	organism
bac18815	591197	organism
bac18816	387343	organism
bac18818	1008	organism
bac18826	67258	organism
bac1883	453230	organism
bac18831	43765	organism
bac1884	2293	organism
bac18845	456163	organism
bac18847	218284	organism
bac18848	189381	organism
bac1885	34031	organism
bac18853	218673	organism
bac18859	204042	organism
bac1886	90728	organism
bac18860	192421	organism
bac18861	2097	organism
bac18862	382	organism
bac18863	32046	organism
bac18864	1874381	organism
bac18865	2045	organism
bac18867	92706	organism
bac18868	1769	organism
bac18869	1556	organism
bac1887	53332	organism
bac18870	29377	organism
bac18871	921	organism
bac18873	1395	organism
bac18874	1398	organism
bac18875	33910	organism
bac18876	37486	organism
bac18877	1166	organism
bac18878	304	organism
bac18879	66695	organism
bac1888	894	organism
bac18880	1704	organism
bac18881	33953	organism
bac18882	43306	organism
bac18883	851	organism
bac18884	359	organism
bac18885	380	organism
bac18886	118562	organism
bac18887	2288	organism
bac18888	575	organism
bac18889	1590	organism
bac1889	897	organism
bac18890	1176	organism
bac18891	72020	organism
bac18892	40839	organism
bac18893	881	organism
bac18894	32044	organism
bac18895	1872092	organism
bac18896	3100343	organism
bac18897	29295	organism
bac18898	1191	organism
bac18899	34081	organism
bac1890	899	organism
bac18900	1165	organism
bac18901	66905	organism
bac18902	477181	organism
bac18903	31918	organism
bac18904	1427	organism
bac18905	224	organism
bac18906	617	organism
bac18907	1971213	organism
bac18908	2267272	organism
bac18909	28127	organism
bac1891	52561	organism
bac18910	28126	organism
bac18911	2098	organism
bac18912	28135	organism
bac18913	840	organism
bac18914	1400	organism
bac18915	65067	organism
bac18916	64667	organism
bac18918	69710	organism
bac18919	1653861	organism
bac18920	488	organism
bac18921	1311812	organism
bac18922	244	organism
bac18923	1985254	organism
bac18924	53501	organism
bac18925	44472	organism
bac18926	53502	organism
bac18927	1565291	organism
bac18928	451	organism
bac18929	33038	organism
bac1893	2300	organism
bac18931	373	organism
bac18933	462178	organism
bac18934	28030	organism
bac18935	272	organism
bac18936	1883	synonym
bac18937	3236654	synonym
bac18938	1048412	organism
bac18939	32043	organism
bac18940	56448	organism
bac18941	1184	organism
bac18942	9	organism
bac18943	1627	organism
bac18944	160	organism
bac18945	127897	organism
bac18946	33022	organism
bac18947	948756	organism
bac18948	1464	organism
bac18949	1973142	organism
bac18950	1179	organism
bac18952	47914	organism
bac18953	74586	organism
bac18954	86188	organism
bac18955	474	organism
bac18956	1219	organism
bac18957	1687	organism
bac18958	129910	organism
bac18959	1869227	organism
bac18960	3236654	synonym
bac18961	3236654	synonym
bac18963	2096	organism
bac18964	43080	organism
bac18965	1391	organism
bac18966	2334	organism
bac18967	29344	organism
bac18968	45200	organism
bac18969	90426	organism
bac1897	1563	organism
bac18970	789	organism
bac18971	1872626	organism
bac18972	32049	organism
bac18973	2081909	organism
bac18974	53405	organism
bac18975	424	organism
bac18976	1763573	organism
bac18977	186649	organism
bac18978	46539	organism
bac18979	63363	organism
bac18980	1628	organism
bac18981	1147	organism
bac18982	1913	organism
bac18983	1702	organism
bac18984	1728	organism
bac18985	76633	organism
bac18986	1148	organism
bac18987	1425	organism
bac18988	69408	organism
bac18989	268806	organism
bac1899	1564	organism
bac18990	55952	organism
bac18991	47869	organism
bac18992	32060	organism
bac18993	146907	organism
bac18994	322009	organism
bac18995	1114982	organism
bac18996	1114204	organism
bac18997	46457	organism
bac18998	2116	organism
bac18999	1204	organism
bac19000	37792	organism
bac19001	548	organism
bac19002	303	organism
bac19004	162291	synonym
bac19005	78535	organism
bac19006	1313	organism
bac19007	1478	organism
bac19008	48665	organism
bac19009	153502	organism
bac1901	873	organism
bac19010	76854	organism
bac19011	67291	organism
bac19012	32018	organism
bac19013	1259	organism
bac19014	29361	organism
bac19015	174632	organism
bac19016	1126	organism
bac19017	60848	organism
bac19018	223	organism
bac19019	2211372	organism
bac1902	58180	organism
bac19020	47253	organism
bac19021	1220	organism
bac19022	272131	organism
bac19023	465820	organism
bac19024	82633	organism
bac19025	146920	organism
bac19026	180195	organism
bac19027	280	organism
bac19028	39596	organism
bac19029	97393	organism
bac19030	1095	organism
bac19031	28071	organism
bac19032	1945	organism
bac19033	92938	organism
bac19034	28040	organism
bac19035	46770	organism
bac19036	33901	organism
bac19037	55601	organism
bac19038	2486279	organism
bac19039	70829	organism
bac19040	132603	organism
bac19041	128152	organism
bac19042	34078	organism
bac19043	1124	organism
bac19044	28074	organism
bac19045	240295	organism
bac19046	1216	organism
bac19047	155929	organism
bac19048	40842	organism
bac19049	2099	organism
bac1905	876	organism
bac19050	195704	organism
bac19051	1197	organism
bac19052	1925	organism
bac19053	2049038	organism
bac19054	39456	organism
bac19055	85682	organism
bac19056	2112	organism
bac19057	29552	organism
bac19058	132606	organism
bac19059	77788	organism
bac1906	878	organism
bac19060	285493	organism
bac19061	39491	organism
bac19062	44449	organism
bac19063	145	organism
bac19064	107831	organism
bac19065	72413	organism
bac19066	264691	organism
bac19067	1593	organism
bac19068	31952	organism
bac19069	129134	organism
bac1907	879	organism
bac19070	42739	organism
bac19071	122866	organism
bac19072	167956	organism
bac19073	71455	organism
bac19074	90093	organism
bac19075	171192	organism
bac19076	442	organism
bac19077	442	organism
bac19078	316518	organism
bac19079	1164	organism
bac19080	296842	organism
bac19081	269536	organism
bac19082	196112	organism
bac19083	68240	organism
bac19084	214467	organism
bac19085	79880	organism
bac19086	120580	organism
bac19087	146786	organism
bac19088	33072	organism
bac19089	32053	organism
bac19090	427272	organism
bac19091	68246	organism
bac19092	83541	organism
bac19093	46896	organism
bac19095	375569	organism
bac19096	203192	organism
bac19097	1206	organism
bac19098	251433	organism
bac19099	83377	organism
bac1910	880	organism
bac19100	110322	organism
bac19101	179878	organism
bac19102	235466	organism
bac19103	122357	organism
bac19104	2546360	organism
bac19105	269086	organism
bac19106	81841	organism
bac19107	88009	organism
bac19108	669359	organism
bac19109	89018	organism
bac1911	872	organism
bac19110	103690	organism
bac19111	158584	organism
bac19112	289541	organism
bac19113	158585	organism
bac19114	155924	organism
bac19115	289539	organism
bac19116	155921	organism
bac19117	79933	organism
bac19118	155925	organism
bac19119	155922	organism
bac19120	289540	organism
bac19121	363332	organism
bac19122	2838790	organism
bac19123	215580	organism
bac19124	33937	organism
bac19125	266825	organism
bac19126	2060770	organism
bac19127	117	organism
bac19128	105692	organism
bac19129	1958755	organism
bac1913	886	organism
bac19130	61656	organism
bac19131	1433415	organism
bac19132	36852	organism
bac19133	1872570	organism
bac19134	38876	organism
bac19135	54291	organism
bac19136	2770026	organism
bac19137	260956	organism
bac19138	160232	organism
bac19139	302048	organism
bac19140	1965333	organism
bac19141	377148	organism
bac19142	2715538	organism
bac19143	118127	organism
bac19144	82301	organism
bac19145	129075	organism
bac19146	36809	organism
bac19147	45916	organism
bac19148	113573	organism
bac19149	2881428	organism
bac19150	1357543	organism
bac19151	171243	organism
bac19152	225625	organism
bac19153	956	organism
bac19154	295838	organism
bac19155	2747269	organism
bac19156	134821	organism
bac19157	35799	organism
bac19158	71281	organism
bac19159	267998	organism
bac1916	94694	organism
bac19160	360069	organism
bac19161	58226	organism
bac19162	2814275	organism
bac19163	360316	organism
bac19164	44448	organism
bac19165	196162	organism
bac19166	84635	organism
bac19167	65048	organism
bac19168	170835	organism
bac1917	2275	organism
bac19170	306575	organism
bac19171	1937967	organism
bac19172	257872	organism
bac19173	198467	organism
bac19174	210426	organism
bac19175	82349	organism
bac19176	330476	organism
bac19177	263511	organism
bac19178	418409	organism
bac19179	72570	organism
bac1918	2273	organism
bac19180	1958	organism
bac19181	213767	organism
bac19182	118322	organism
bac19183	235370	organism
bac19184	235372	organism
bac19185	413195	organism
bac19186	413193	organism
bac19187	235373	organism
bac19188	92945	organism
bac19189	507619	organism
bac19190	439	organism
bac19191	464	organism
bac19192	941183	organism
bac19193	367828	organism
bac19194	157673	organism
bac19195	208226	organism
bac19196	189918	organism
bac19197	164757	organism
bac19198	164756	organism
bac19199	330214	organism
bac1920	891	organism
bac19200	162154	organism
bac19201	2231114	organism
bac19202	2848135	organism
bac19203	948	organism
bac19204	362787	organism
bac19205	31944	organism
bac19206	653883	organism
bac19207	102116	organism
bac19208	3100426	organism
bac19209	44473	organism
bac1921	38815	organism
bac19210	203907	organism
bac19211	198252	organism
bac19212	202350	organism
bac19213	133505	organism
bac19214	135579	organism
bac19215	50058	organism
bac19216	298335	organism
bac19217	561133	organism
bac19218	544900	organism
bac19219	50057	organism
bac1922	37626	organism
bac19220	266779	organism
bac19221	96471	organism
bac19222	52598	organism
bac19223	313603	organism
bac19224	576611	organism
bac19225	375572	organism
bac19226	375560	organism
bac19227	359378	organism
bac19228	374667	organism
bac19229	430441	organism
bac19230	66219	organism
bac19231	220926	organism
bac19232	92758	organism
bac19233	2122	organism
bac19234	57372	organism
bac19235	29501	organism
bac19236	171632	organism
bac19237	136241	organism
bac19238	65123	organism
bac19239	1872669	organism
bac19240	375286	organism
bac19241	346331	organism
bac19242	386487	organism
bac19243	337090	organism
bac19244	393765	organism
bac19245	83521	organism
bac19246	34018	organism
bac19247	538945	organism
bac19248	258999	organism
bac19249	348388	organism
bac19250	110662	organism
bac19251	69042	organism
bac19252	59931	organism
bac19253	259537	organism
bac19254	442955	organism
bac19255	1399836	organism
bac19256	247490	organism
bac19257	446461	organism
bac19258	1872437	organism
bac19259	474404	organism
bac19260	474403	organism
bac19261	406252	organism
bac19262	227476	organism
bac19263	51642	organism
bac19264	85703	organism
bac19265	237368	organism
bac19266	174633	organism
bac19267	591796	organism
bac19268	372462	organism
bac19269	446359	organism
bac19270	1839701	organism
bac19271	508351	organism
bac19272	545541	organism
bac19273	545542	organism
bac19274	545540	organism
bac19275	1643547	organism
bac19276	98930	organism
bac19277	439332	organism
bac19278	425474	organism
bac19279	1306274	organism
bac19280	332163	organism
bac19281	110321	organism
bac19282	689	organism
bac19283	69019	organism
bac19284	1165097	organism
bac19285	122087	organism
bac19286	770	organism
bac19287	693	organism
bac19288	311180	organism
bac19289	638919	organism
bac19290	1119072	organism
bac19291	425946	organism
bac19292	129133	organism
bac19293	457918	organism
bac19294	108557	organism
bac19295	322865	organism
bac19296	126344	organism
bac19297	399100	organism
bac19298	331989	organism
bac19299	415230	organism
bac19300	217687	organism
bac19301	242145	organism
bac19302	484430	organism
bac19303	68222	organism
bac19304	93718	organism
bac19305	341028	organism
bac19306	405418	organism
bac19307	399726	organism
bac19308	689776	organism
bac19309	689777	organism
bac19310	212767	organism
bac19311	76885	organism
bac19312	79884	organism
bac19313	206162	organism
bac19314	508689	organism
bac19315	508688	organism
bac19316	500843	organism
bac19317	2218628	organism
bac19318	259537	organism
bac19319	563923	organism
bac19320	307	organism
bac19321	80621	organism
bac19322	398764	organism
bac19323	398763	organism
bac19324	412965	organism
bac19325	1903286	organism
bac19326	436119	organism
bac19327	436120	organism
bac19328	360796	organism
bac19329	453961	organism
bac19330	351600	organism
bac19331	351598	organism
bac19332	400987	organism
bac19333	106590	organism
bac19334	165468	organism
bac19335	447250	organism
bac19336	549782	organism
bac19337	447249	organism
bac19338	85672	organism
bac19339	447251	organism
bac19340	447252	organism
bac19341	590741	organism
bac19342	331676	organism
bac19343	161918	organism
bac19344	155978	organism
bac19345	622260	organism
bac19346	649394	organism
bac19347	686394	organism
bac19348	505729	organism
bac19349	103836	organism
bac19350	690476	organism
bac19351	649393	organism
bac19352	100476	organism
bac19353	889452	organism
bac19354	387092	organism
bac19355	186189	organism
bac19356	42862	organism
bac19357	166501	organism
bac19358	120	organism
bac19359	511746	organism
bac19360	270374	organism
bac19361	256847	organism
bac19362	33075	organism
bac19363	170350	organism
bac19364	172564	organism
bac19365	451789	organism
bac19366	498846	organism
bac19367	1175445	organism
bac19369	231952	organism
bac19370	247155	organism
bac19371	591970	organism
bac19372	368267	organism
bac19373	192895	organism
bac19374	711538	organism
bac19375	45202	organism
bac19376	2499	organism
bac19377	1885	organism
bac19378	471827	organism
bac19379	88735	organism
bac1938	14	organism
bac19380	590840	organism
bac19381	1310165	organism
bac19382	1295125	organism
bac19383	290400	organism
bac19384	158786	organism
bac19385	518882	organism
bac19386	564665	organism
bac19387	234831	organism
bac19388	580165	organism
bac19389	166785	organism
bac19390	641298	organism
bac19391	2024840	organism
bac19392	77022	organism
bac19393	668331	organism
bac19394	713887	organism
bac19395	2164130	organism
bac19396	309	organism
bac19397	28399	organism
bac19398	331680	organism
bac19399	216393	organism
bac19400	508875	organism
bac19401	220700	organism
bac19402	77095	organism
bac19403	1969468	organism
bac19404	54310	organism
bac19405	153188	organism
bac19406	658062	organism
bac19407	1966486	organism
bac19408	60	organism
bac19409	411153	organism
bac19410	1962953	organism
bac19411	417375	organism
bac19412	1965322	organism
bac19413	691266	organism
bac19414	2004705	organism
bac19415	187330	organism
bac19416	29382	organism
bac19417	767740	organism
bac19418	858295	organism
bac19419	85561	organism
bac19420	47877	organism
bac19421	1004779	organism
bac19422	662757	organism
bac19423	944673	organism
bac19424	1718	organism
bac19425	767892	organism
bac19426	1033990	organism
bac19427	445988	organism
bac19428	1968906	organism
bac19429	2268202	organism
bac19430	996925	organism
bac19431	449212	organism
bac19432	172866	organism
bac19433	138903	organism
bac19434	35824	organism
bac19435	40576	organism
bac19436	912801	organism
bac19437	563177	organism
bac19438	879273	organism
bac19439	1897	organism
bac19440	393112	organism
bac19441	1055039	organism
bac19442	370025	organism
bac19443	345341	organism
bac19444	1007105	organism
bac19445	285525	organism
bac19446	207809	organism
bac19447	1094340	organism
bac19448	392423	organism
bac19449	380749	organism
bac19450	1074265	organism
bac19451	745014	organism
bac19452	1074263	organism
bac19453	72174	organism
bac19454	1074268	organism
bac19455	147266	organism
bac19456	744979	organism
bac19457	1074259	organism
bac19458	285971	organism
bac19460	223296	organism
bac19461	431057	organism
bac19463	78509	organism
bac19464	671143	organism
bac19465	83557	organism
bac19466	997346	organism
bac19467	167065	organism
bac19468	54257	organism
bac19469	85582	organism
bac19470	109265	organism
bac19471	80849	organism
bac19472	76745	organism
bac19473	985052	organism
bac19474	887061	organism
bac19475	1280303	organism
bac19476	119978	organism
bac19477	944446	organism
bac19478	944467	organism
bac19479	944466	organism
bac19480	944457	organism
bac19481	944462	organism
bac19482	944478	organism
bac19483	1160	organism
bac19484	1134645	organism
bac19485	34058	organism
bac19486	72022	organism
bac19487	245014	organism
bac19488	796330	organism
bac19489	1112103	organism
bac19490	1380804	organism
bac19491	79881	organism
bac19495	300825	organism
bac19496	1503043	organism
bac19497	47868	organism
bac19498	756252	organism
bac19499	1302548	organism
bac19500	49118	organism
bac19501	2099378	organism
bac19502	48412	organism
bac19503	456827	organism
bac19504	1904827	organism
bac19505	447217	organism
bac19506	37692	organism
bac19507	1155739	organism
bac19508	146786	organism
bac19509	1231934	organism
bac19511	575408	organism
bac19512	1892812	organism
bac19513	1458493	organism
bac19514	256467	organism
bac19515	1071078	organism
bac19516	1286363	organism
bac19517	783	organism
bac19518	663600	organism
bac19519	380242	organism
bac19520	363279	organism
bac19521	33943	organism
bac19522	712124	organism
bac19523	184022	organism
bac19524	2546359	organism
bac19525	395961	organism
bac19526	795830	organism
bac19527	134676	organism
bac19528	360732	organism
bac19529	463	organism
bac19530	389657	organism
bac19531	1385623	organism
bac19532	1385601	organism
bac19533	1385610	organism
bac19534	270519	organism
bac19535	1385617	organism
bac19536	1175985	organism
bac19537	1385615	organism
bac19538	1385616	organism
bac19539	701519	organism
bac19540	1385611	organism
bac19541	100379	organism
bac19542	634420	organism
bac19543	1385603	organism
bac19544	35772	organism
bac19545	1385612	organism
bac19546	2304194	organism
bac19547	1385618	organism
bac19548	103808	organism
bac19549	235467	organism
bac19550	554454	organism
bac19551	373039	organism
bac19552	1756047	organism
bac19553	372787	organism
bac19554	373994	organism
bac19555	230518	organism
bac19556	118165	organism
bac19557	54299	organism
bac19558	54297	organism
bac19559	184932	organism
bac19560	1849603	organism
bac19561	47660	organism
bac19562	1547922	organism
bac19564	404589	organism
bac19565	359131	organism
bac19566	1285921	organism
bac19567	2466	organism
bac19569	342605	organism
bac19570	1487711	organism
bac19571	34021	organism
bac19572	133921	organism
bac19573	1040987	organism
bac19574	74576	organism
bac19575	475	synonym
bac19576	33067	organism
bac19577	258797	organism
bac19578	1136432	organism
bac19579	882490	organism
bac19580	1605895	organism
bac19581	869629	organism
bac19582	161537	organism
bac19583	161535	organism
bac19584	457667	organism
bac19585	1154583	organism
bac19586	406819	organism
bac19587	1577791	organism
bac19588	385957	organism
bac19589	879274	organism
bac19590	279135	organism
bac19591	3259750	synonym
bac19592	1100	organism
bac19593	948676	organism
bac19594	1470558	organism
bac19595	1453039	organism
bac19596	1204386	organism
bac19597	1493616	organism
bac19598	86003	organism
bac1960	1313	organism
bac19600	532738	organism
bac19601	1651872	organism
bac19602	1268279	organism
bac19603	375060	organism
bac19604	1231257	organism
bac19605	1072370	organism
bac19606	1410620	organism
bac19607	1502851	organism
bac19608	1455739	organism
bac19609	1548128	organism
bac19610	1649595	organism
bac19611	338054	organism
bac19613	1355242	organism
bac19614	413714	organism
bac19615	3236654	synonym
bac19617	1187851	organism
bac19618	1811591	organism
bac19619	1391857	organism
bac19620	1386972	organism
bac19621	1386971	organism
bac19622	416011	organism
bac19623	1080067	organism
bac19624	197651	organism
bac19625	233055	organism
bac19626	1343093	organism
bac19628	1233995	organism
bac19629	213664	organism
bac19630	996536	organism
bac19631	996548	organism
bac19632	497782	organism
bac19633	365615	organism
bac19634	81397	organism
bac19635	1113698	organism
bac19636	882003	organism
bac19637	1648169	organism
bac19638	1883	synonym
bac19639	103690	organism
bac19640	142864	organism
bac19641	1481731	organism
bac19643	686597	organism
bac19644	2546366	organism
bac19645	627192	organism
bac19646	56108	organism
bac19647	230757	organism
bac19648	1327989	organism
bac19649	411923	organism
bac19650	1872671	organism
bac19651	1628763	organism
bac19652	256642	organism
bac19653	1521117	organism
bac19654	52022	organism
bac19655	1827093	organism
bac19656	324057	organism
bac19657	909925	organism
bac19659	197653	organism
bac19660	358220	organism
bac19661	1378066	organism
bac19662	261476	organism
bac19663	376149	organism
bac19665	83681	synonym
bac19667	640315	organism
bac19668	56673	organism
bac19670	563169	organism
bac19672	797926	organism
bac19673	797957	organism
bac19674	797930	organism
bac19675	797941	organism
bac19676	797942	organism
bac19677	797894	organism
bac19678	797953	organism
bac19679	797939	organism
bac19680	797958	organism
bac19681	797947	organism
bac19682	797927	organism
bac19683	797944	organism
bac19684	797931	organism
bac19685	797933	organism
bac19686	797932	organism
bac19687	797924	organism
bac19688	797943	organism
bac19689	797902	organism
bac19690	797897	organism
bac19691	797928	organism
bac19692	797936	organism
bac19693	1313118	organism
bac19694	797929	organism
bac19695	797956	organism
bac19696	797938	organism
bac19697	797946	organism
bac19698	1185873	organism
bac19699	1843715	organism
bac19700	1166950	organism
bac19702	1386498	organism
bac19703	1112214	organism
bac19704	627078	organism
bac19705	765715	organism
bac19706	72271	organism
bac19707	1401994	organism
bac19708	1664036	organism
bac19709	447367	organism
bac19710	426532	organism
bac19712	93372	organism
bac19714	470743	organism
bac19715	1352935	organism
bac19717	1961363	organism
bac19719	1930929	organism
bac19720	1535197	organism
bac19721	321332	organism
bac19724	1225967	organism
bac19725	1225965	organism
bac19726	1225966	organism
bac19727	1168	organism
bac19728	1608628	organism
bac19729	260935	organism
bac19730	241	organism
bac19731	1762963	organism
bac19732	1495633	organism
bac19733	498375	organism
bac19735	1365091	organism
bac19736	1365007	organism
bac19737	752076	organism
bac19738	349106	organism
bac19739	581103	organism
bac19740	162986	organism
bac19742	313589	organism
bac19743	501479	organism
bac19744	393999	organism
bac19745	122631	organism
bac19746	1191459	organism
bac19747	1336177	organism
bac19748	946333	organism
bac19749	1196218	organism
bac19750	1071045	organism
bac19751	2943317	synonym
bac19752	1856644	organism
bac19753	1116375	organism
bac19754	1540143	organism
bac19755	619742	organism
bac19756	34029	organism
bac19757	296591	organism
bac19758	1178	organism
bac19759	457412	organism
bac19760	744723	organism
bac19762	1268971	organism
bac19763	1534748	organism
bac19764	118323	organism
