namespace	ncbi_taxid
entity_id	external_id	source
bac11627	35742	organism
bac11628	182779	organism
bac1163	1018	organism
bac1164	1019	organism
bac11662	2269	organism
bac11664	93944	organism
bac11666	60217	organism
bac11672	170652	organism
bac11673	170679	organism
bac11674	170651	organism
bac11675	265668	organism
bac11676	171383	organism
bac11677	661	organism
bac11682	187879	organism
bac11683	277988	organism
bac11687	342948	organism
bac11697	177758	organism
bac11700	349064	organism
bac11714	110163	organism
bac11715	2264	organism
bac11716	110164	organism
bac11717	72360	organism
bac11737	22	organism
bac11748	86304	organism
bac11749	252514	organism
bac11751	53246	organism
bac11755	1971	organism
bac11763	666	organism
bac11768	160233	organism
bac11769	471511	organism
bac11770	518643	organism
bac1178	129958	organism
bac11784	424218	organism
bac11794	661	organism
bac11800	158327	organism
bac11802	427918	organism
bac11811	1201031	organism
bac11855	1703	organism
bac11857	357794	organism
bac11863	79885	organism
bac11866	1134687	organism
bac11873	2209	organism
bac11874	69499	organism
bac11876	496866	organism
bac11877	375929	organism
bac11878	46541	organism
bac11879	52	organism
bac11891	2377	organism
bac11892	2378	organism
bac11893	901	organism
bac11895	2382	organism
bac11897	36849	organism
bac11898	52690	organism
bac11915	358766	organism
bac11916	475088	organism
bac11918	2247	organism
bac11919	39152	organism
bac1192	2748	organism
bac11920	39152	organism
bac11921	39152	organism
bac11922	39152	organism
bac11923	35818	organism
bac11924	2198	organism
bac11925	2224	organism
bac11927	121277	organism
bac1193	2751	organism
bac11933	1313	organism
bac1194	2747	organism
bac11940	168697	organism
bac11943	870	organism
bac11957	38300	organism
bac1199	33977	organism
bac11990	28152	organism
bac12009	652	organism
bac12010	47229	organism
bac1205	53367	organism
bac12063	1363	organism
bac12076	106355	organism
bac12078	225327	organism
bac12081	29580	organism
bac12082	200618	organism
bac12084	288022	organism
bac12091	299462	organism
bac12099	364098	organism
bac12100	335406	organism
bac12101	158823	organism
bac12123	400390	organism
bac12131	726	organism
bac1218	155892	organism
bac12182	551760	organism
bac12186	191863	organism
bac12198	105560	organism
bac122	714	organism
bac12201	338192	organism
bac12211	2280	organism
bac1222	75	organism
bac12228	259354	organism
bac1223	74313	organism
bac12240	217159	organism
bac12251	1911	synonym
bac12263	2021	organism
bac1227	158484	organism
bac12273	28108	organism
bac12274	64178	organism
bac12276	70799	organism
bac12277	54311	organism
bac12292	645578	organism
bac12293	876270	organism
bac12297	66431	organism
bac123	715	organism
bac12317	43661	organism
bac12319	58351	organism
bac1232	43670	organism
bac12326	43771	organism
bac1233	1708	organism
bac12339	95485	organism
bac1234	1711	organism
bac12347	168695	organism
bac1235	1707	organism
bac1236	1714	organism
bac12375	67575	organism
bac12377	184924	organism
bac1238	11	organism
bac12384	69539	organism
bac12385	89067	organism
bac124	713	organism
bac12409	28175	organism
bac12410	29494	organism
bac12431	34003	organism
bac12439	2724944	organism
bac12444	254759	organism
bac12452	47885	organism
bac12458	29489	organism
bac12462	1615	organism
bac12473	80869	organism
bac12476	252970	organism
bac12477	60548	organism
bac12478	169427	organism
bac12480	152480	organism
bac12481	92647	organism
bac12482	134536	organism
bac12484	312306	organism
bac12485	192	organism
bac12486	219649	organism
bac12487	31998	organism
bac12488	321895	organism
bac12489	148447	organism
bac12490	157910	organism
bac12491	75105	organism
bac12498	340145	organism
bac12543	271098	organism
bac12544	359303	organism
bac12545	70864	organism
bac12546	404011	organism
bac12547	271097	organism
bac12548	60961	organism
bac12549	192073	organism
bac12550	60478	organism
bac12551	62322	organism
bac12557	2198	organism
bac12558	2197	organism
bac12582	67353	organism
bac126	46158	organism
bac12605	44155	organism
bac12609	41275	organism
bac12611	121290	organism
bac12612	83618	organism
bac12618	663610	organism
bac12624	1795	organism
bac12638	165696	organism
bac12639	32012	organism
bac12640	1125847	organism
bac12643	199136	organism
bac12644	35701	organism
bac12645	28064	organism
bac12646	35700	organism
bac12649	121291	organism
bac12661	2375	organism
bac12664	132608	organism
bac12665	324833	organism
bac12669	225362	organism
bac12671	566	organism
bac12673	331971	organism
bac12676	150247	organism
bac12685	310769	organism
bac127	46160	organism
bac12709	144786	organism
bac12710	2033	organism
bac12731	29580	organism
bac12737	38300	organism
bac12743	490575	organism
bac12745	486507	organism
bac12751	307580	organism
bac12753	72803	organism
bac12756	412861	organism
bac12761	29330	organism
bac12763	367791	organism
bac128	46163	organism
bac12803	660513	organism
bac12805	78342	organism
bac12817	173480	organism
bac12824	74385	organism
bac12825	83681	organism
bac12827	28031	organism
bac1284	1883	organism
bac12846	128802	organism
bac12852	76517	organism
bac12853	244787	organism
bac12854	207949	organism
bac12855	291112	organism
bac12857	83171	organism
bac12858	67760	organism
bac12859	73913	organism
bac12860	172049	organism
bac12861	55802	organism
bac12864	60920	organism
bac12865	191495	organism
bac12866	1538	organism
bac12871	257772	organism
bac12879	29447	organism
bac12882	67369	organism
bac12887	2433	organism
bac12891	52603	organism
bac12893	199596	organism
bac12894	215813	organism
bac129	1988	organism
bac12905	2208	organism
bac12910	1880	organism
bac12923	548579	organism
bac12924	1452	organism
bac12932	45667	organism
bac12945	29380	organism
bac12950	68247	organism
bac12955	96230	organism
bac12994	351676	organism
bac12995	117207	organism
bac12996	59779	organism
bac12997	152682	organism
bac130	46165	organism
bac13009	282216	organism
bac13018	47866	organism
bac13019	1878	organism
bac13020	29409	organism
bac13021	200615	organism
bac13022	29408	organism
bac13023	200616	organism
bac13024	551546	organism
bac13045	65	organism
bac13046	42197	organism
bac13066	94624	organism
bac13073	160791	organism
bac13075	330922	organism
bac13087	106589	organism
bac13093	1888	organism
bac1310	83560	organism
bac13105	85683	organism
bac13106	7	organism
bac13108	201	organism
bac1311	83558	organism
bac13110	2277	organism
bac13116	285537	organism
bac1312	83554	organism
bac13129	57494	organism
bac1313	810	organism
bac13131	274	organism
bac13137	106648	organism
bac13138	69218	organism
bac13146	1859	organism
bac1315	813	organism
bac13167	191768	organism
bac13171	1413	organism
bac13179	76947	organism
bac13194	1243	organism
bac132	1659	organism
bac13206	33899	organism
bac13213	54261	organism
bac13246	212	organism
bac13247	56877	organism
bac13283	114616	organism
bac13298	2034	organism
bac13299	24	organism
bac133	1914	organism
bac13310	71997	organism
bac13316	69656	organism
bac13318	90909	organism
bac13319	53952	organism
bac13320	71998	organism
bac13323	447	organism
bac13359	554343	organism
bac13360	1684	organism
bac13373	361575	organism
bac13376	33059	organism
bac13378	40324	organism
bac13389	116188	organism
bac134	1655	organism
bac13418	66428	organism
bac1342	1092	organism
bac13426	104100	organism
bac1343	115852	organism
bac13430	376620	organism
bac13446	217159	organism
bac1345	1097	organism
bac13458	157	organism
bac13478	43057	organism
bac1348	1098	organism
bac13484	51173	organism
bac135	1923	organism
bac13503	134601	organism
bac13505	2199	organism
bac1352	1108	organism
bac13530	2736	organism
bac13531	482957	organism
bac13534	2189	organism
bac13536	41675	organism
bac13537	360807	organism
bac13543	1008460	organism
bac13565	285091	organism
bac13569	47853	organism
bac13588	215813	organism
bac13590	42443	organism
bac13593	665874	organism
bac13594	393662	organism
bac13595	62140	organism
bac13596	223967	organism
bac13599	244596	organism
bac136	1654	organism
bac13600	388408	organism
bac13622	242703	organism
bac13631	33986	organism
bac13641	2350	organism
bac13643	83816	organism
bac13646	419186	organism
bac13649	388741	organism
bac13650	2163	organism
bac13658	29282	organism
bac13659	261291	organism
bac13660	413810	organism
bac13661	2246	organism
bac13664	2249	organism
bac13665	396317	organism
bac13668	228229	organism
bac1367	1050	organism
bac137	1935	organism
bac1370	29581	organism
bac13701	240495	organism
bac13702	68214	organism
bac13705	334543	organism
bac13708	940615	organism
bac13712	379547	organism
bac13716	43776	organism
bac13720	2066	organism
bac13721	513050	organism
bac13724	186192	organism
bac13725	208479	organism
bac13735	285079	organism
bac13739	397260	organism
bac1374	238	organism
bac13740	156457	organism
bac13744	60894	organism
bac1375	309797	organism
bac13750	456455	organism
bac13755	55218	organism
bac13759	2118	organism
bac13766	38314	organism
bac13770	46161	organism
bac13780	368812	organism
bac13787	1886	organism
bac138	67381	organism
bac13801	76891	organism
bac13806	911092	organism
bac13822	42234	organism
bac13823	1941	organism
bac13824	163361	organism
bac13825	68258	organism
bac13826	476551	organism
bac13827	67358	organism
bac13837	111504	organism
bac13848	228745	organism
bac13858	115979	organism
bac13860	193460	organism
bac13868	110101	organism
bac13869	553088	organism
bac13871	54913	organism
bac13875	1215385	organism
bac13889	198119	organism
bac13891	227866	organism
bac13892	293387	organism
bac13894	561879	organism
bac13895	69370	organism
bac13899	119394	organism
bac139	1656	organism
bac13901	399	organism
bac13904	269709	organism
bac13909	414	organism
bac13913	405212	organism
bac13914	375	organism
bac13916	304736	organism
bac13918	309806	organism
bac13922	179838	organism
bac13924	456327	organism
bac13935	333367	organism
bac13945	300560	organism
bac13958	67327	organism
bac13966	80865	organism
bac1397	35703	organism
bac13978	481720	organism
bac1398	546	organism
bac1399	545	organism
bac14000	2423	organism
bac14014	57029	organism
bac1402	544	organism
bac14023	334771	organism
bac14024	181663	organism
bac14032	450	organism
bac14033	371601	organism
bac14034	301953	organism
bac14037	68286	organism
bac14045	104264	organism
bac14046	1172192	organism
bac14050	310297	organism
bac14056	192904	organism
bac14057	248906	organism
bac14058	237373	organism
bac14064	570	organism
bac14068	43659	organism
bac14070	979	organism
bac14071	1136065	organism
bac14077	1852	organism
bac14078	1081601	organism
bac14085	813	organism
bac14086	197	organism
bac14087	188908	organism
bac14090	128785	organism
bac14097	380021	organism
bac14098	104628	organism
bac14099	96241	organism
bac141	1866	organism
bac14100	85991	organism
bac14101	83559	organism
bac14106	182640	organism
bac14110	172827	organism
bac14114	35786	organism
bac14143	1318	organism
bac14144	1307	organism
bac14145	45634	organism
bac14147	113107	organism
bac14148	68891	organism
bac14157	257758	organism
bac14188	943941	organism
bac14191	84023	organism
bac14193	328515	organism
bac14199	2136	organism
bac142	35752	organism
bac14234	262324	organism
bac14246	187878	organism
bac14248	53437	organism
bac14250	1863	organism
bac14254	172045	organism
bac14256	40837	organism
bac14258	129338	organism
bac14259	392734	organism
bac14260	364410	organism
bac14265	54915	organism
bac14268	319939	organism
bac14274	1341119	organism
bac14307	153233	organism
bac14308	219314	organism
bac14313	41951	organism
bac14319	1408	organism
bac14320	1390	organism
bac14321	184117	organism
bac14327	304895	organism
bac14331	29497	organism
bac14333	55148	organism
bac14334	185300	organism
bac14377	75654	organism
bac14386	582419	organism
bac144	1865	organism
bac14401	101192	organism
bac14410	504097	organism
bac14426	1355477	organism
bac14433	898	organism
bac14439	47850	organism
bac14448	125	organism
bac14456	316277	organism
bac14460	492670	organism
bac14462	118000	organism
bac14463	1134405	organism
bac14472	29360	organism
bac14476	57497	organism
bac14491	54254	organism
bac14497	72361	organism
bac14498	252246	organism
bac14499	1654	organism
bac145	1869	organism
bac1450	29369	organism
bac14500	273678	organism
bac14505	2065	organism
bac14507	40567	organism
bac14508	391953	organism
bac1451	84022	organism
bac14510	48296	organism
bac1452	1488	organism
bac1454	1556	organism
bac14542	183417	organism
bac1456	1527	organism
bac14566	316612	organism
bac14567	39687	organism
bac14570	1927	synonym
bac14572	449973	organism
bac14573	517011	organism
bac1458	1561	organism
bac14584	244366	organism
bac1459	1528	organism
bac14592	393481	organism
bac14593	119542	organism
bac1460	1520	organism
bac1461	1490	organism
bac1462	1491	organism
bac14625	457432	organism
bac1463	29323	organism
bac14631	985	organism
bac14632	261964	organism
bac14637	859	organism
bac14638	860	organism
bac14639	854	organism
bac14640	855	organism
bac14642	861	organism
bac14643	143361	organism
bac14644	849	organism
bac14645	77917	organism
bac14646	858	organism
bac14648	441	organism
bac1465	1492	organism
bac14650	100716	organism
bac14651	84205	organism
bac14653	49319	organism
bac14654	42256	organism
bac1467	29355	organism
bac14677	754	organism
bac1468	1521	organism
bac14684	120962	organism
bac1469	46867	organism
bac14699	139208	organism
bac1470	1531	organism
bac1471	1494	organism
bac14718	1038928	organism
bac1472	1495	organism
bac14726	246786	organism
bac1473	1496	organism
bac14730	2057	organism
bac1474	36839	organism
bac14741	826	organism
bac14742	986	organism
bac14743	310783	organism
bac14744	502394	organism
bac14746	1473580	organism
bac1477	1497	organism
bac1478	29358	organism
bac1479	36841	organism
bac1480	43131	organism
bac1481	1498	organism
bac1482	69825	organism
bac14824	195522	organism
bac14827	522	organism
bac14828	165694	organism
bac14835	83656	organism
bac1484	29359	organism
bac1485	1499	organism
bac14861	80816	organism
bac14863	1945634	organism
bac1487	1534	organism
bac14875	94254	organism
bac14878	52763	organism
bac14882	279828	organism
bac1490	1536	organism
bac1491	1557	organism
bac14916	252302	organism
bac1493	1540	organism
bac14940	171695	organism
bac14941	2078	organism
bac14943	1590	synonym
bac1496	1565	organism
bac14964	1176649	organism
bac14966	200	organism
bac1497	1542	organism
bac14972	1575	organism
bac14974	861266	organism
bac14979	34087	organism
bac1498	1543	organism
bac14984	257438	organism
bac1499	1544	organism
bac14995	1401	organism
bac14998	35753	organism
bac1500	29362	organism
bac15000	286	organism
bac15001	43674	organism
bac15003	666	organism
bac15009	1104324	organism
bac1501	29363	organism
bac15010	940614	organism
bac15015	94625	organism
bac15016	1134435	organism
bac15018	1348163	organism
bac1502	1501	organism
bac15022	1827	organism
bac15023	76761	organism
bac1503	1502	organism
bac15032	184072	organism
bac15034	2246	organism
bac15035	37487	organism
bac15037	882211	organism
bac1504	28446	organism
bac1505	1503	organism
bac15064	68280	organism
bac15065	1226757	organism
bac15066	66377	organism
bac15067	47761	organism
bac15068	1957	organism
bac15069	211114	organism
bac15070	1169025	organism
bac15071	344736	organism
bac1508	850	organism
bac15087	1084	organism
bac15088	485577	organism
bac15096	66897	organism
bac15101	1423	organism
bac15107	1386	organism
bac15114	1910	organism
bac15122	129337	organism
bac1514	1505	organism
bac15142	1372	organism
bac15146	150829	organism
bac1515	1485	organism
bac1516	29370	organism
bac15164	108010	organism
bac15165	33059	organism
bac15167	151783	organism
bac1517	1509	organism
bac15172	57676	organism
bac15173	348824	organism
bac15184	538379	organism
bac15187	89	organism
bac1519	1485	organism
bac15195	58135	organism
bac152	548	organism
bac1520	1510	organism
bac15203	72000	organism
bac15209	250	organism
bac1522	1511	organism
bac15221	36745	organism
bac15222	715451	organism
bac15223	286	organism
bac1523	1550	organism
bac15232	2424	organism
bac15234	742169	organism
