Acinetobacter haemolyticus
Acinetobacter halotolerans
Acinetobacter harbinensis
Acinetobacter higginsii
Acinetobacter ihumii
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter kookii
Acinetobacter kyonggiensis
Acinetobacter lactucae
Acinetobacter lanii
Acinetobacter larvae
Acinetobacter libanensis
Acinetobacter lwoffii
Acinetobacter marinus
Acinetobacter mesopotamicus
Acinetobacter modestus
Acinetobacter nectaris
Acinetobacter nematophilus
Acinetobacter nosocomialis
Acinetobacter oleivorans
Acinetobacter oryzae
Acinetobacter parvus
Acinetobacter piscicola
Acinetobacter pittii
Acinetobacter pittii-like
Acinetobacter plantarum
Acinetobacter pollinis
Acinetobacter populi
Acinetobacter portensis
Acinetobacter pragensis
Acinetobacter proteolyticus
Acinetobacter pseudolwoffii
Acinetobacter pullicarnis
Acinetobacter pullorum
Acinetobacter puyangensis
Acinetobacter qingfengensis
Acinetobacter radioresistens
Acinetobacter rathckeae
Acinetobacter refrigeratoris
Acinetobacter rudis
Acinetobacter schindleri
Acinetobacter sedimenti
Acinetobacter seifertii
Acinetobacter seohaensis
Acinetobacter septicus
Acinetobacter shaoyimingii
Acinetobacter sichuanensis
Acinetobacter silvestris
Acinetobacter soli
Acinetobacter sp.
Acinetobacter stercoris
Acinetobacter tandoii
Acinetobacter terrae
Acinetobacter terrestris
Acinetobacter tibetensis
Acinetobacter tjernbergiae
Acinetobacter towneri
Acinetobacter ursingii
Acinetobacter variabilis
Acinetobacter venetianus
Acinetobacter vivianii
Acinetobacter wanghuae
Acinetobacter wuhouensis
Acrocarpospora catenulata
Acrocarpospora corrugata
Acrocarpospora macrocephala
Acrocarpospora phusangensis
Acrocarpospora pleiomorpha
Actibacter haliotis
Actibacter sediminis
Actibacterium atlanticum
Actibacterium lipolyticum
Actibacterium mucosum
Actibacterium naphthalenivorans
Actibacterium pelagium
Actibacterium ureilyticum
Actimicrobium antarcticum
Actinacidiphila soli
Actinacidiphilus wushanense
Actinoacidiphilus directus
Actinoacidiphilus flexuosus
Actinoacidiphilus helicoides
Actinoallomurus acaciae
Actinoallomurus acanthiterrae
Actinoallomurus amamiensis
Actinoallomurus bryophytorum
Actinoallomurus caesius
Actinoallomurus coprocola
Actinoallomurus fulvus
Actinoallomurus iriomotensis
Actinoallomurus liliacearum
Actinoallomurus luridus
Actinoallomurus oryzae
Actinoallomurus purpureus
Actinoallomurus radicium
Actinoallomurus sp.
Actinoallomurus spadix
Actinoallomurus vinaceus
Actinoallomurus yoronensis
Actinoalloteichus caeruleus
Actinoalloteichus fjordicus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus nanshanensis
Actinoalloteichus sp.
Actinoalloteichus spitiensis
Actinobacillus anseriformium
Actinobacillus arthritidis
Actinobacillus capsulatus
Actinobacillus delphinicola
Actinobacillus equuli
Actinobacillus equuli subsp. haemolyticus
Actinobacillus genomospecies 2
Actinobacillus hominis
Actinobacillus indolicus
Actinobacillus lignieresii
Actinobacillus minor
Actinobacillus pleuropneumoniae
Actinobacillus porcinus
Actinobacillus porcitonsillarum
Actinobacillus rossii
Actinobacillus salpingitidis
Actinobacillus scotiae
Actinobacillus seminis
Actinobacillus sp.
Actinobacillus succinogenes
Actinobacillus suis
Actinobacillus ureae
Actinobacillus vicugnae
Actinobacteria sp.
Actinobaculum lemanensis
Actinobaculum massiliense
Actinobaculum sp.
Actinobaculum suis
Actinobaculum timonae
Actinocatenispora comari
Actinocatenispora rupis
Actinocatenispora sera
Actinocatenispora thailandica
Actinocorallia aurantiaca
Actinocorallia aurea
Actinocorallia cavernae
Actinocorallia glomerata
Actinocorallia herbida
Actinocorallia lasiicapitis
Actinocorallia libanotica
Actinocorallia longicatena
Actinocorallia populi
Actinocrinis puniceicyclus
Actinocrispum wychmicini
Actinokineospora acnipugnans
Actinokineospora alba
Actinokineospora auranticolor
Actinokineospora baliensis
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora cibodasensis
Actinokineospora diospyrosa
Actinokineospora enzanensis
Actinokineospora fastidiosa
Actinokineospora globicatena
Actinokineospora guangxiensis
Actinokineospora inagensis
Actinokineospora iranica
Actinokineospora pegani
Actinokineospora riparia
Actinokineospora soli
Actinokineospora sp.
Actinokineospora spheciospongiae
Actinokineospora terrae
Actinomadura adrarensis
Actinomadura alba
Actinomadura algeriensis
Actinomadura alkaliterrae
Actinomadura apis
Actinomadura atramentaria
Actinomadura bangladeshensis
Actinomadura barringtoniae
Actinomadura catellatispora
Actinomadura chibensis
Actinomadura chokoriensis
Actinomadura citrea
Actinomadura coerulea
Actinomadura craniellae
Actinomadura cremea
Actinomadura darangshiensis
Actinomadura decatromicini
Actinomadura deserti
Actinomadura fibrosa
Actinomadura flavalba
Actinomadura formosensis
Actinomadura fulvescens
Actinomadura gamaensis
Actinomadura geliboluensis
Actinomadura glauciflava
Actinomadura graeca
Actinomadura hallensis
Actinomadura hankyongensis
Actinomadura harenae
Actinomadura hibisca
Actinomadura jiaoheensis
Actinomadura keratinilytica
Actinomadura kijaniata
Actinomadura latina
Actinomadura lepetitiana
Actinomadura litoris
Actinomadura livida
Actinomadura logoneensis
Actinomadura luteofluorescens
Actinomadura luzonensis
Actinomadura macra
Actinomadura macrotermitis
Actinomadura madurae
Actinomadura maheshkhaliensis
Actinomadura meridiana
Actinomadura mexicana
Actinomadura meyerae
Actinomadura miaoliensis
Actinomadura montaniterrae
Actinomadura namibiensis
Actinomadura napierensis
Actinomadura nitritigenes
Actinomadura oligospora
Actinomadura parmotrematis
Actinomadura pelletieri
Actinomadura physcomitrii
Actinomadura rayongensis
Actinomadura rhizosphaerae
Actinomadura rifamycini
Actinomadura roseirufa
Actinomadura rubrisoli
Actinomadura rubteroloni
Actinomadura rudentiformis
Actinomadura rugatobispora
Actinomadura rupiterrae
Actinomadura scrupuli
Actinomadura sediminis
Actinomadura soli
Actinomadura sp.
Actinomadura spongiicola
Actinomadura sporangiiformans
Actinomadura sputi
Actinomadura syzygii
Actinomadura terrae
Actinomadura verrucosospora
Actinomadura vinacea
Actinomadura violacea
Actinomadura viridilutea
Actinomadura viridis
Actinomadura xylanilytica
Actinomadura yumaensis
Actinomarinicola tropica
Actinomyces bouchesdurhonensis
Actinomyces bovis
Actinomyces bowdenii
Actinomyces capricornis
Actinomyces catuli
Actinomyces dentalis
Actinomyces denticolens
Actinomyces faecalis
Actinomyces gaoshouyii
Actinomyces gerencseriae
Actinomyces graevenitzii
Actinomyces haliotis
Actinomyces howellii
Actinomyces israelii
Actinomyces johnsonii
Actinomyces lilanjuaniae
Actinomyces lingnae
Actinomyces marmotae
Actinomyces massiliensis
Actinomyces naeslundii
Actinomyces odonlyticus
Actinomyces oralis
Actinomyces oricola
Actinomyces oris
Actinomyces polynesiensis
Actinomyces procaprae
Actinomyces provencensis
Actinomyces qiguomingii
Actinomyces radicidentis
Actinomyces respiraculi
Actinomyces ruminicola
Actinomyces schaalii
Actinomyces slackii
Actinomyces sp.
Actinomyces timonensis
Actinomyces trachealis
Actinomyces urogenitalis
Actinomyces viscosus
Actinomyces vulturis
Actinomyces weissii
Actinomyces wuliandei
Actinomycetales sp.
Actinomycetospora atypica
Actinomycetospora callitridis
Actinomycetospora chiangmaiensis
Actinomycetospora chibensis
Actinomycetospora chlora
Actinomycetospora cinnamomea
Actinomycetospora corticicola
Actinomycetospora endophytica
Actinomycetospora iriomotensis
Actinomycetospora lutea
Actinomycetospora rhizophila
Actinomycetospora rishiriensis
Actinomycetospora straminea
Actinomycetospora succinea
Actinophytocola algeriensis
Actinophytocola burenkhanensis
Actinophytocola corallinus
Actinophytocola gilvus
Actinophytocola glycyrrhizae
Actinophytocola gossypii
Actinophytocola oryzae
Actinophytocola sediminis
Actinophytocola sp.
Actinophytocola timorensis
Actinophytocola xanthii
Actinophytocola xinjiangensis
Actinoplanes abujensis
Actinoplanes aksuensis
Actinoplanes arizonaensis
Actinoplanes atraurantiacus
Actinoplanes auranticolor
Actinoplanes awajinensis
Actinoplanes awajinensis subsp. mycoplanecinus
Actinoplanes bogorensis
Actinoplanes brasiliensis
Actinoplanes campanulatus
Actinoplanes capillaceus
Actinoplanes cibodasensis
Actinoplanes consettensis
Actinoplanes couchii
Actinoplanes cyaneus
Actinoplanes deccanensis
Actinoplanes deccanensis subsp. azaserinus
Actinoplanes deccanensis subsp. salmoneus
Actinoplanes derwentensis
Actinoplanes deserti
Actinoplanes digitatis
Actinoplanes durhamensis
Actinoplanes ferrugineus
Actinoplanes flavus
Actinoplanes friuliensis
Actinoplanes garbadinensis
Actinoplanes globisporus
Actinoplanes gratiae
Actinoplanes hotanensis
Actinoplanes hulinensis
Actinoplanes humidus
Actinoplanes ianthinogenes
Actinoplanes italicus
Actinoplanes lichenicola
Actinoplanes lichenis
Actinoplanes liguriensis
Actinoplanes lobatus
Actinoplanes luteus
Actinoplanes lutulentus
Actinoplanes maris
Actinoplanes missouriensis
Actinoplanes nipponensis
Actinoplanes nirasakinensis
Actinoplanes octamycinicus
Actinoplanes ovalisporus
Actinoplanes palleronii
Actinoplanes philippinensis
Actinoplanes polyasparticus
Actinoplanes purpeobrunneus
Actinoplanes pyriformis
Actinoplanes ramoplaninifer
Actinoplanes rectilineatus
Actinoplanes regularis
Actinoplanes rhizophilus
Actinoplanes rishiriensis
Actinoplanes sediminis
Actinoplanes siamensis
Actinoplanes sichuanensis
Actinoplanes solisilvae
Actinoplanes sp.
Actinoplanes subglobosus
Actinoplanes teichomyceticus
Actinoplanes tereljensis
Actinoplanes toevensis
Actinoplanes tropicalis
Actinoplanes tuftoflagellus
Actinoplanes utahensis
Actinoplanes violaceus
Actinoplanes xinjiangensis
Actinoplanes yunnanensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha pittospori
Actinopolymorpha rutila
Actinopolymorpha singaporensis
Actinopolyspora alba
Actinopolyspora algeriensis
Actinopolyspora biskrensis
Actinopolyspora erythraea
Actinopolyspora halophila
Actinopolyspora lacussalsi
Actinopolyspora mortivallis
Actinopolyspora mzabensis
Actinopolyspora righensis
Actinopolyspora saharensis
Actinopolyspora salina
Actinopolyspora salinaria
Actinopolyspora sp.
Actinopolyspora xinjiangensis
Actinorectispora indica
Actinorectispora metalli
Actinorhabdospora filicis
Actinorugispora endophytica
Actinospica acidiphila
Actinospica durhamensis
Actinospica robiniae
Actinosporangium violaceum
Actinosynnema mirum
Actinosynnema pretiosum
Actinosynnema pretiosum subsp. auranticum
Actinosynnema sp.
Actinotalea caeni
Actinotalea fermentans
Actinotalea ferrariae
Actinotalea soli
Actinotalea solisilvae
Actinotalea sp.
Actinotignum sanguinis
Actinotignum schaalii
Actinotignum urinale
Actirhodobacter atriluteus
Acutalibacter muris
Acuticoccus kalidii
Acuticoccus kandeliae
Acuticoccus mangrovi
Acuticoccus sediminis
Acuticoccus yangtzensis
Adhaeretor mobilis
Adhaeribacter aerolatus
Adhaeribacter aerophilus
Adhaeribacter aquaticus
Adhaeribacter arboris
Adhaeribacter pallidiroseus
Adhaeribacter radiodurans
Adhaeribacter rhizoryzae
Adhaeribacter sp.
Adhaeribacter swui
Adhaeribacter terrae
Adhaeribacter terreus
Adhaeribacter terrigena
Adlercreutzia agrestimuris
Adlercreutzia aquisgranensis
Adlercreutzia caecicola
Adlercreutzia caecimuris
Adlercreutzia equolifaciens
Adlercreutzia equolifaciens subsp. celata
Adlercreutzia hattorii
Adlercreutzia mucosicola
Adlercreutzia murintestinalis
Adlercreutzia muris
Adlercreutzia rubneri
Advenella alkanexedens
Advenella faeciporci
Advenella incenata
Advenella kashmirensis
Advenella kashmirensis subsp. methylica
Advenella mandrilli
Advenella mimigardefordensis
Advenella sp.
Aedoeadaptatus acetigenes
Aegeococcus anagnostidisii
Aegicerativicinus sediminis
Aeoliella mucimassa
Aeoliella straminimaris
Aequoribacter fuscus
Aequorivita aestuarii
Aequorivita antarctica
Aequorivita aquimaris
Aequorivita capsosiphonis
Aequorivita crocea
Aequorivita echinoideorum
Aequorivita iocasae
Aequorivita lipolytica
Aequorivita lutea
Aequorivita nionensis
Aequorivita sinensis
Aequorivita soesokkakensis
Aequorivita sp.
Aequorivita sublithincola
Aequorivita todarodis
Aequorivita viscosa
Aequorivita vitellina
Aequorivita vladivostokensis
Aequorivita xiaoshiensis
Aeribacillus composti
Aeribacillus pallidus
Aeribacillus sp.
Aeriscardovia aeriphila
Aerococcus christensenii
Aerococcus hominis
Aerococcus sanguinicola
Aerococcus sp.
Aerococcus suis
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus urinaehominis
Aerococcus vaginalis
Aerococcus viridans
Aeromicrobium alkaliterrae
Aeromicrobium camelliae
Aeromicrobium chenweiae
Aeromicrobium choanae
Aeromicrobium endophyticum
Aeromicrobium erythreum
Aeromicrobium flavum
Aeromicrobium ginsengisoli
Aeromicrobium halocynthiae
Aeromicrobium halotolerans
Aeromicrobium lacus
Aeromicrobium marinum
Aeromicrobium massiliense
Aeromicrobium panacisoli
Aeromicrobium panaciterrae
Aeromicrobium phragmitis
Aeromicrobium piscarium
Aeromicrobium ponti
Aeromicrobium sp.
Aeromicrobium stalagmiti
Aeromicrobium tamlense
Aeromicrobium terrae
Aeromicrobium yanjiei
Aeromonas allosaccharophila
Aeromonas aquatica
Aeromonas australiensis
Aeromonas bestiarum
Aeromonas bivalvium
Aeromonas cavernicola
Aeromonas caviae
Aeromonas dhakensis
Aeromonas diversa
Aeromonas encheleia
Aeromonas enteropelogenes
Aeromonas eucrenophila
Aeromonas finlandensis
Aeromonas fluvialis
Aeromonas hydrophila
Aeromonas hydrophila subsp. hydrophila
Aeromonas hydrophila subsp. ranae
Aeromonas ichthiosmia
Aeromonas jandaei
Aeromonas lacus
Aeromonas lusitana
Aeromonas media
Aeromonas molluscorum
Aeromonas piscicola
Aeromonas popoffii
Aeromonas rivipollensis
Aeromonas rivuli
Aeromonas salmonicida
Aeromonas salmonicida subsp. achromogenes
Aeromonas salmonicida subsp. masoucida
Aeromonas salmonicida subsp. pectinolytica
Aeromonas salmonicida subsp. salmonicida
Aeromonas salmonicida subsp. smithia
Aeromonas sanarellii
Aeromonas schubertii
Aeromonas simiae
Aeromonas sobria
Aeromonas sp.
Aeromonas taiwanensis
Aeromonas tecta
Aeromonas veronii
Aerophototrophica crusticola
Aeropyrum camini
Aeropyrum pernix
Aerosphaera taetra
Aerosticca soli
Aestuariibacter halophilus
Aestuariibacter salexigens
Aestuariibaculum marinum
Aestuariibaculum scopimerae
Aestuariibaculum sediminum
Aestuariibaculum suncheonense
Aestuariibius insulae
Aestuariicella albida
Aestuariicella hydrocarbonica
Aestuariicoccus marinus
Aestuariihabitans beolgyonensis
Aestuariimicrobium kwangyangense
Aestuariimicrobium soli
Aestuariimonas insulae
Aestuariirhabdus haliotis
Aestuariirhabdus litorea
Aestuariispira ectoiniformans
Aestuariispira insulae
Aestuariivirga litoralis
Aestuariivita boseongensis
Aestuariivivens insulae
Aetherobacter fasciculatus
Aetherobacter rufus
Afifella aestuarii
Afifella marina
Afifella pfennigii
Afifella sp.
Afipia birgiae
Afipia broomeae
Afipia carboxidovorans
Afipia clevelandensis
Afipia felis
Afipia genomospecies
Afipia lausannensis
Afipia massiliensis
Afipia quartiernordensis
Afipia saintantoinensis
Afipia sp.
Agaribacter flavus
Agaribacter marinus
Agaribacterium haliotis
Agaricicola taiwanensis
Agarilytica rhodophyticola
Agarivorans aestuarii
Agarivorans albus
Agarivorans gilvus
Agarivorans litoreus
Agarivorans sp.
Agathobacter rectalis
Agathobacter ruminis
Agathobaculum ammoniilyticum
Agathobaculum butyriciproducens
Agathobaculum desmolans
Agathobaculum faecis
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter kilianii
Aggregatibacter segnis
Aggregatibacter simiae
Aggregatilinea lenta
Aggregicoccus edonensis
Agilicoccus flavus
Agitococcus lubricus
Agreia bicolorata
Agreia pratensis
Agreia sp.
Agrilactobacillus composti
Agrilactobacillus fermenti
Agrilactobacillus yilanensis
Agriterribacter soli
Agrobacterium agile
Agrobacterium arsenijevicii
Agrobacterium bohemicum
Agrobacterium burrii
Agrobacterium cavarae
Agrobacterium fabacearum
Agrobacterium larrymoorei
Agrobacterium leguminum
Agrobacterium luteum
Agrobacterium nepotum
Agrobacterium pusense
Agrobacterium radiobacter
Agrobacterium rosae
Agrobacterium rubi
Agrobacterium salinitolerans
Agrobacterium shirazense
Agrobacterium skierniewicense
Agrobacterium sp.
Agrobacterium tomkonis
Agrobacterium tumefaciens
Agrobacterium vaccinii
Agrococcus baldri
Agrococcus carbonis
Agrococcus casei
Agrococcus citreus
Agrococcus jejuensis
Agrococcus jenensis
Agrococcus lahaulensis
Agrococcus sediminis
Agrococcus sp.
Agrococcus terreus
Agrococcus versicolor
Agromyces agglutinans
Agromyces albus
Agromyces allii
Agromyces arachidis
