namespace	ec_number
enz44236	7.1.1.2	ec_class
enz44237	1.6.5.4	ec_class
enz44239	1.6.99.1	ec_class
enz44242	1.7.1.1	ec_class
enz44243	1.7.1.4	ec_class
enz44244	1.7.1.9	ec_class
enz44245	1.8.1.13	ec_class
enz44246	1.8.1.2	ec_class
enz44247	1.8.3.1	ec_class
enz44248	1.8.3.2	ec_class
enz44250	2.7.1.149	ec_class
enz44251	2.3.1.158	ec_class
enz44252	2.4.1.135	ec_class
enz44253	2.4.1.217	ec_class
enz44254	2.4.1.218	ec_class
enz44256	1.14.19.66	ec_class
enz44257	2.7.1.150	ec_class
enz44258	2.7.1.151	ec_class
enz44260	2.7.1.153	ec_class
enz44261	1.14.19.68	ec_class
enz44263	2.7.7.60	ec_class
enz44264	2.8.4.1	ec_class
enz44265	3.2.1.20	ec_class
enz44266	3.1.3.70	ec_class
enz44267	3.1.3.71	ec_class
enz44268	3.13.1.1	ec_class
enz44269	3.2.1.1	ec_class
enz44270	3.2.1.14	ec_class
enz44272	3.2.1.4	ec_class
enz44273	3.2.1.52	ec_class
enz44274	3.2.1.91	ec_class
enz44276	3.5.1.31	ec_class
enz44277	3.5.1.88	ec_class
enz44278	3.6.1.52	ec_class
enz44279	4.2.1.103	ec_class
enz44282	1.3.1.33	ec_class
enz44283	1.21.3.3	ec_class
enz44284	1.14.19.67	ec_class
enz44286	1.5.8.1	ec_class
enz44287	1.5.8.2	ec_class
enz44290	1.8.99.2	ec_class
enz44291	1.8.1.4	ec_class
enz44292	1.8.5.1	ec_class
enz44294	1.8.1.14	ec_class
enz44295	1.8.2.1	ec_class
enz44297	1.8.2.2	ec_class
enz44299	1.7.3.3	ec_class
enz443	1.14.12.15	ec_class
enz44300	1.12.5.1	ec_class
enz44301	1.6.2.2	ec_class
enz44302	1.7.99.1	ec_class
enz44303	1.6.5.10	ec_class
enz44304	1.7.1.7	ec_class
enz44305	1.7.1.6	ec_class
enz44306	1.7.3.6	ec_class
enz44308	1.7.3.5	ec_class
enz44309	1.7.7.1	ec_class
enz44310	1.7.1.12	ec_class
enz44311	1.7.1.11	ec_class
enz44312	1.7.1.10	ec_class
enz44315	1.6.2.6	ec_class
enz44316	1.7.2.4	ec_class
enz44318	1.4.3.4	ec_class
enz44320	2.4.2.38	ec_class
enz44321	1.11.1.14	ec_class
enz44322	1.11.1.5	ec_class
enz44324	1.3.8.8	ec_class
enz44325	1.21.99.1	ec_class
enz44328	1.12.98.2	ec_class
enz44331	1.8.4.7	ec_class
enz44332	1.8.1.11	ec_class
enz44333	1.7.1.5	ec_class
enz44335	1.8.1.7	ec_class
enz44336	1.8.1.12	ec_class
enz44337	1.8.4.2	ec_class
enz44338	1.11.1.12	ec_class
enz44339	1.8.3.3	ec_class
enz44341	1.8.1.9	ec_class
enz44342	2.7.8.24	ec_class
enz44343	1.5.3.10	ec_class
enz44344	2.8.2.30	ec_class
enz44345	1.4.99.6	ec_class
enz44346	2.8.2.29	ec_class
enz44347	1.13.11.1	ec_class
enz44348	1.8.4.3	ec_class
enz44349	1.7.3.1	ec_class
enz44350	1.8.4.4	ec_class
enz44351	1.8.4.1	ec_class
enz44352	1.7.3.2	ec_class
enz44359	1.12.98.1	ec_class
enz44361	1.8.3.4	ec_class
enz44362	1.8.1.10	ec_class
enz44363	1.7.2.5	ec_class
enz44365	1.9.6.1	ec_class
enz44366	2.7.1.147	ec_class
enz44367	2.4.1.212	ec_class
enz44368	2.4.1.213	ec_class
enz44369	2.7.1.146	ec_class
enz44377	1.4.99.2	ec_class
enz44378	1.4.3.7	ec_class
enz44379	7.1.1.6	ec_class
enz44380	1.11.1.1	ec_class
enz44381	1.13.11.14	ec_class
enz44388	1.13.11.27	ec_class
enz44389	1.13.11.31	ec_class
enz44390	1.4.3.10	ec_class
enz44392	1.13.11.11	ec_class
enz44393	1.12.2.1	ec_class
enz44394	1.13.11.17	ec_class
enz444	1.14.12.16	ec_class
enz44400	1.21.3.2	ec_class
enz44401	1.13.11.16	ec_class
enz44403	1.14.19.64	ec_class
enz44404	1.14.19.65	ec_class
enz44425	2.2.1.7	ec_class
enz44442	2.2.1.6	ec_class
enz44444	2.2.1.5	ec_class
enz44449	1.7.1.3	ec_class
enz44450	1.14.13.43	ec_class
enz44451	1.14.13.46	ec_class
enz44452	2.4.1.216	ec_class
enz44453	1.4.3.12	ec_class
enz44454	1.14.14.96	ec_class
enz44455	1.14.13.19	ec_class
enz44456	7.1.1.9	ec_class
enz44457	1.14.12.10	ec_class
enz44458	1.13.11.12	ec_class
enz44459	1.3.1.22	ec_class
enz44475	1.9.98.1	ec_class
enz44476	1.13.11.9	ec_class
enz44477	1.10.1.1	ec_class
enz44478	1.13.11.10	ec_class
enz44479	1.10.3.2	ec_class
enz44480	1.13.11.29	ec_class
enz44481	1.13.11.19	ec_class
enz44482	1.14.13.4	ec_class
enz44483	1.13.11.30	ec_class
enz44484	1.10.3.4	ec_class
enz44529	1.5.1.9	ec_class
enz44530	1.5.1.7	ec_class
enz44531	1.4.9.1	ec_class
enz44532	1.4.9.2	ec_class
enz44535	1.14.11.12	ec_class
enz44536	1.14.99.23	ec_class
enz44537	1.14.99.2	ec_class
enz44538	1.11.1.9	ec_class
enz502	1.14.13.54	ec_class
enz503	1.14.14.98	ec_class
enz504	1.14.14.100	ec_class
enz505	1.14.14.101	ec_class
enz506	1.14.13.58	ec_class
enz510	1.14.13.61	ec_class
enz511	1.14.13.62	ec_class
enz512	1.14.13.63	ec_class
enz513	1.14.13.64	ec_class
enz515	1.14.13.66	ec_class
enz52168	1.14.19.1	ec_class
enz52169	1.3.7.3	ec_class
enz52170	1.97.1.2	ec_class
enz52171	1.97.1.1	ec_class
enz52172	1.8.7.1	ec_class
enz52173	1.8.3.5	ec_class
enz52174	1.8.1.8	ec_class
enz52176	1.7.2.3	ec_class
enz52177	1.6.2.5	ec_class
enz52178	1.5.99.5	ec_class
enz52179	1.5.4.1	ec_class
enz52180	1.5.1.32	ec_class
enz52181	1.5.1.10	ec_class
enz52182	1.3.7.5	ec_class
enz52183	1.3.7.4	ec_class
enz52184	1.12.98.4	ec_class
enz52185	1.3.7.2	ec_class
enz52186	1.14.19.62	ec_class
enz52187	1.3.1.24	ec_class
enz52188	1.21.3.5	ec_class
enz52189	1.21.3.4	ec_class
enz52190	1.2.1.4	ec_class
enz52191	1.18.1.4	ec_class
enz52192	1.18.1.3	ec_class
enz52193	1.18.1.1	ec_class
enz52194	1.17.9.1	ec_class
enz52195	1.17.4.2	ec_class
enz52196	1.17.4.1	ec_class
enz52197	1.17.3.1	ec_class
enz52198	1.17.1.1	ec_class
enz52199	1.16.3.1	ec_class
enz52200	1.16.1.7	ec_class
enz52201	1.16.1.6	ec_class
enz52205	1.16.1.1	ec_class
enz52206	1.15.1.1	ec_class
enz52207	1.14.14.17	ec_class
enz52208	1.14.99.4	ec_class
enz52210	1.14.14.18	ec_class
enz52211	1.14.99.29	ec_class
enz52212	1.17.3.4	ec_class
enz52213	1.14.99.26	ec_class
enz52214	1.14.99.24	ec_class
enz52215	1.14.99.20	ec_class
enz52216	1.14.19.77	ec_class
enz52218	1.14.99.15	ec_class
enz52219	1.14.99.14	ec_class
enz52220	1.14.99.12	ec_class
enz52221	1.14.99.11	ec_class
enz52222	1.14.99.1	ec_class
enz52223	1.14.19.3	ec_class
enz52224	1.14.19.2	ec_class
enz52226	1.14.17.3	ec_class
enz52227	1.14.17.1	ec_class
enz52228	1.14.16.5	ec_class
enz52229	1.14.16.4	ec_class
enz52231	1.14.16.2	ec_class
enz52232	1.14.16.1	ec_class
enz52233	1.14.15.5	ec_class
enz52234	1.14.14.108	ec_class
enz52235	1.14.14.5	ec_class
enz52236	1.14.14.105	ec_class
enz52237	1.14.14.103	ec_class
enz52238	1.14.13.7	ec_class
enz52239	1.14.13.6	ec_class
enz52240	1.14.13.51	ec_class
enz52241	1.14.13.50	ec_class
enz52243	1.14.13.44	ec_class
enz52244	1.14.13.40	ec_class
enz52245	1.14.13.38	ec_class
enz52246	1.14.13.35	ec_class
enz52247	1.14.13.34	ec_class
enz52248	1.14.13.33	ec_class
enz52249	1.14.13.31	ec_class
enz52250	1.14.14.9	ec_class
enz52251	1.14.13.29	ec_class
enz52252	1.14.13.27	ec_class
enz52253	1.14.18.4	ec_class
enz52254	1.14.13.25	ec_class
enz52255	1.14.13.24	ec_class
enz52256	1.14.13.23	ec_class
enz52257	1.14.13.22	ec_class
enz52258	1.14.14.82	ec_class
enz52259	1.14.13.20	ec_class
enz52260	1.14.13.16	ec_class
enz52261	1.14.15.15	ec_class
enz52262	1.14.13.14	ec_class
enz52263	1.14.13.10	ec_class
enz52264	1.14.12.9	ec_class
enz52265	1.14.12.8	ec_class
enz52266	1.14.12.7	ec_class
enz52267	1.14.13.241	ec_class
enz52268	1.14.13.242	ec_class
enz52269	1.14.12.3	ec_class
enz52270	1.14.12.13	ec_class
enz52271	1.14.12.12	ec_class
enz52272	1.14.12.1	ec_class
enz52273	1.14.11.9	ec_class
enz52274	1.14.11.7	ec_class
enz52275	1.14.11.6	ec_class
enz52276	1.14.11.4	ec_class
enz52277	1.14.11.3	ec_class
enz52278	1.14.11.2	ec_class
enz52279	1.14.11.16	ec_class
enz52280	1.14.11.15	ec_class
enz52281	1.14.20.13	ec_class
enz52282	1.14.11.13	ec_class
enz52283	1.14.11.11	ec_class
enz52284	1.14.11.10	ec_class
enz52285	1.14.11.1	ec_class
enz52286	1.13.99.3	ec_class
enz52287	1.13.12.9	ec_class
enz52288	1.13.12.8	ec_class
enz52289	1.13.12.6	ec_class
enz52290	1.13.12.5	ec_class
enz52291	1.13.12.3	ec_class
enz52292	1.13.12.1	ec_class
enz52293	1.13.11.8	ec_class
enz52294	1.13.11.6	ec_class
enz52295	1.13.11.5	ec_class
enz52296	1.13.11.41	ec_class
enz52297	1.13.11.40	ec_class
enz52298	1.13.11.39	ec_class
enz52299	1.13.11.37	ec_class
enz52300	1.13.11.36	ec_class
enz52301	1.13.11.35	ec_class
enz52302	1.13.11.34	ec_class
enz52303	1.13.11.3	ec_class
enz52304	1.13.11.28	ec_class
enz52305	1.13.11.26	ec_class
enz52306	1.13.11.25	ec_class
enz52307	1.13.11.24	ec_class
enz52308	1.13.11.23	ec_class
enz52309	1.13.11.22	ec_class
enz52310	1.13.11.20	ec_class
enz52311	1.13.11.2	ec_class
enz52312	1.13.11.18	ec_class
enz52313	1.13.11.15	ec_class
enz52314	1.12.99.6	ec_class
enz52315	1.12.7.2	ec_class
enz52316	1.12.1.3	ec_class
enz52317	1.12.1.2	ec_class
enz52318	1.11.1.8	ec_class
enz52319	1.11.1.7	ec_class
enz52320	1.11.1.6	ec_class
enz52321	1.11.1.3	ec_class
enz52322	1.11.1.2	ec_class
enz52323	1.11.1.13	ec_class
enz52324	1.11.1.11	ec_class
enz52325	1.10.3.6	ec_class
enz52326	1.10.3.3	ec_class
enz52327	7.1.1.8	ec_class
enz52328	1.1.1.273	ec_class
enz52330	5.4.99.17	ec_class
enz52332	5.5.1.12	ec_class
enz52333	6.3.2.26	ec_class
enz52334	6.1.1.23	ec_class
enz52335	6.3.5.6	ec_class
enz52336	1.16.1.2	ec_class
enz52337	1.14.15.18	ec_class
enz52338	1.19.6.1	ec_class
enz52339	1.18.6.1	ec_class
enz52340	1.14.13.39	ec_class
enz52341	1.14.11.20	ec_class
enz52342	1.14.99.21	ec_class
enz52343	1.14.14.106	ec_class
enz52344	1.14.14.104	ec_class
enz52345	1.1.3.41	ec_class
enz52346	1.14.14.92	ec_class
enz52347	1.13.12.2	ec_class
enz52348	1.13.11.43	ec_class
enz52349	1.14.14.176	ec_class
enz52350	1.14.14.86	ec_class
enz52351	1.14.14.85	ec_class
enz52352	1.12.98.3	ec_class
enz52353	1.1.1.274	ec_class
enz52354	1.21.3.1	ec_class
enz52355	1.14.12.11	ec_class
enz52356	1.8.1.6	ec_class
enz52357	1.5.1.31	ec_class
enz52358	1.5.1.25	ec_class
enz52359	1.4.3.19	ec_class
enz52360	1.3.1.73	ec_class
enz52361	1.3.1.69	ec_class
enz52362	1.14.20.1	ec_class
enz52363	1.14.14.107	ec_class
enz52365	1.13.12.4	ec_class
enz52366	1.10.3.1	ec_class
enz52367	1.7.7.2	ec_class
enz52370	2.1.1.13	ec_class
enz52371	2.1.1.7	ec_class
enz52372	2.1.1.61	ec_class
enz52373	2.1.1.55	ec_class
enz52374	2.1.1.54	ec_class
enz52375	2.1.1.50	ec_class
enz52376	2.1.1.5	ec_class
enz52377	2.1.1.1	ec_class
enz52379	2.1.1.27	ec_class
enz52381	2.1.1.44	ec_class
enz52382	2.3.1.164	ec_class
enz52383	2.4.1.222	ec_class
enz52384	2.1.1.47	ec_class
enz52385	2.1.1.60	ec_class
enz52386	2.1.1.14	ec_class
enz52388	2.1.1.49	ec_class
enz52389	2.1.1.35	ec_class
enz52390	2.1.1.10	ec_class
enz52391	2.1.2.1	ec_class
enz52392	2.4.1.221	ec_class
enz52393	2.1.1.46	ec_class
enz52394	2.1.1.118	ec_class
enz52397	2.1.1.33	ec_class
enz52398	2.1.1.4	ec_class
enz52400	2.3.1.161	ec_class
enz52401	2.1.1.6	ec_class
enz52402	2.1.1.8	ec_class
enz52403	2.1.1.9	ec_class
enz52404	2.3.1.166	ec_class
enz52405	2.4.2.52	ec_class
enz52406	3.1.3.72	ec_class
enz52407	7.3.2.3	ec_class
enz52408	3.1.26.11	ec_class
enz52409	4.2.3.18	ec_class
enz52410	4.1.1.80	ec_class
enz52411	4.6.1.15	ec_class
enz52412	2.7.13.1	ec_class
enz52413	2.7.13.2	ec_class
enz52414	2.7.13.3	ec_class
enz56365	1.13.12.7	ec_class
enz56370	1.16.1.8	ec_class
enz56379	1.1.3.13	ec_class
enz56381	1.21.4.1	ec_class
enz56390	1.5.1.33	ec_class
enz56391	1.5.1.34	ec_class
enz56395	2.1.1.100	ec_class
enz56396	2.1.1.101	ec_class
enz56397	2.1.1.102	ec_class
enz56398	2.1.1.103	ec_class
enz56399	2.1.1.104	ec_class
enz56400	2.1.1.105	ec_class
enz56401	2.1.1.106	ec_class
enz56402	2.1.1.107	ec_class
enz56403	2.1.1.108	ec_class
enz56404	2.1.1.109	ec_class
enz56405	2.1.1.11	ec_class
enz56406	2.1.1.110	ec_class
enz56407	2.1.1.111	ec_class
enz56408	2.1.1.112	ec_class
enz56409	2.1.1.113	ec_class
enz56410	2.1.1.114	ec_class
enz56411	2.1.1.12	ec_class
enz56413	2.1.1.137	ec_class
enz56415	2.1.1.146	ec_class
enz56416	2.1.1.147	ec_class
enz56419	2.1.1.15	ec_class
enz56420	2.1.1.16	ec_class
enz56421	2.1.1.17	ec_class
enz56422	2.1.1.18	ec_class
enz56423	2.1.1.19	ec_class
enz56424	2.1.1.2	ec_class
enz56425	2.1.1.20	ec_class
enz56426	2.1.1.21	ec_class
enz56427	2.1.1.22	ec_class
enz56428	2.1.1.25	ec_class
enz56429	2.1.1.26	ec_class
enz56430	2.1.1.3	ec_class
enz56432	2.1.1.37	ec_class
enz56433	2.1.1.38	ec_class
enz56434	2.1.1.40	ec_class
enz56435	2.1.1.41	ec_class
enz56436	2.1.1.42	ec_class
enz56438	2.1.1.45	ec_class
enz56440	2.1.1.53	ec_class
enz56441	2.1.1.56	ec_class
enz56442	2.1.1.59	ec_class
enz56443	2.1.1.62	ec_class
enz56444	2.1.1.63	ec_class
enz56445	2.1.1.64	ec_class
enz56446	2.1.1.65	ec_class
enz56448	2.1.1.67	ec_class
enz56449	2.1.1.68	ec_class
enz56450	2.1.1.69	ec_class
enz56451	2.1.1.70	ec_class
enz56452	2.1.1.71	ec_class
enz56453	2.1.1.72	ec_class
enz56455	2.1.1.74	ec_class
enz56456	2.1.1.75	ec_class
enz56457	2.1.1.76	ec_class
enz56458	2.1.1.77	ec_class
enz56459	2.1.1.78	ec_class
enz56460	2.1.1.79	ec_class
enz56461	2.1.1.80	ec_class
enz56462	2.1.1.82	ec_class
enz56463	2.1.1.83	ec_class
enz56464	2.1.1.84	ec_class
enz56465	2.1.1.85	ec_class
enz56466	2.1.1.87	ec_class
enz56467	2.1.1.88	ec_class
enz56468	2.1.1.89	ec_class
enz56469	2.1.1.90	ec_class
enz56470	2.1.1.91	ec_class
enz56472	2.1.1.94	ec_class
enz56473	2.1.1.95	ec_class
enz56474	2.1.1.96	ec_class
enz56475	2.1.1.97	ec_class
enz56476	2.1.1.98	ec_class
enz56477	2.1.1.99	ec_class
enz56478	2.1.2.10	ec_class
enz56479	2.1.2.11	ec_class
enz56480	2.1.2.2	ec_class
enz56481	2.1.2.3	ec_class
enz56482	2.1.2.4	ec_class
enz56483	2.1.2.5	ec_class
enz56484	2.1.2.7	ec_class
enz56485	2.1.2.8	ec_class
enz56486	2.1.2.9	ec_class
enz56487	2.1.3.1	ec_class
enz56488	2.1.3.2	ec_class
enz56489	2.1.3.3	ec_class
enz56490	2.1.3.5	ec_class
enz56491	2.1.3.6	ec_class
enz56492	2.1.3.7	ec_class
enz56493	2.1.3.8	ec_class
enz56494	2.1.4.1	ec_class
enz56495	2.1.4.2	ec_class
enz56496	2.2.1.1	ec_class
enz56497	2.2.1.2	ec_class
enz56498	2.2.1.3	ec_class
enz56499	2.2.1.4	ec_class
enz56501	2.3.1.1	ec_class
enz56502	2.3.1.10	ec_class
enz56503	2.3.1.100	ec_class
enz56504	2.3.1.101	ec_class
enz56505	2.3.1.102	ec_class
enz56506	2.3.1.103	ec_class
enz56508	2.3.1.105	ec_class
enz56509	2.3.1.106	ec_class
enz56510	2.3.1.107	ec_class
enz56511	2.3.1.108	ec_class
enz56512	2.3.1.109	ec_class
enz56513	2.3.1.11	ec_class
enz56514	2.3.1.110	ec_class
enz56515	2.3.1.111	ec_class
enz56516	2.3.1.114	ec_class
enz56517	2.3.1.115	ec_class
enz56518	2.3.1.116	ec_class
enz56519	2.3.1.117	ec_class
enz56520	2.3.1.118	ec_class
enz56521	2.3.1.12	ec_class
enz56522	2.3.1.121	ec_class
enz56523	2.3.1.122	ec_class
enz56524	2.3.1.123	ec_class
enz56525	2.3.1.125	ec_class
enz56526	2.3.1.126	ec_class
enz56527	2.3.1.127	ec_class
enz56529	2.3.1.129	ec_class
enz56530	2.3.1.13	ec_class
enz56531	2.3.1.130	ec_class
enz56532	2.3.1.131	ec_class
enz56533	2.3.1.133	ec_class
enz56534	2.3.1.134	ec_class
enz56535	2.3.1.136	ec_class
enz56536	2.3.1.137	ec_class
enz56537	2.3.1.138	ec_class
enz56538	2.3.1.139	ec_class
enz56539	2.3.1.14	ec_class
enz56540	2.3.1.140	ec_class
enz56541	2.3.1.141	ec_class
enz56542	2.3.1.142	ec_class
enz56543	2.3.1.143	ec_class
enz56544	2.3.1.144	ec_class
enz56545	2.3.1.145	ec_class
enz56546	2.3.1.15	ec_class
enz56547	2.3.1.159	ec_class
enz56548	2.3.1.16	ec_class
enz56549	2.3.1.160	ec_class
enz56550	2.3.1.162	ec_class
enz56551	2.3.1.163	ec_class
enz56552	2.3.1.165	ec_class
enz56553	2.3.1.167	ec_class
enz56554	2.3.1.17	ec_class
enz56555	2.3.1.18	ec_class
enz56556	2.3.1.19	ec_class
enz56557	2.3.1.2	ec_class
enz56558	2.3.1.20	ec_class
enz56559	2.3.1.21	ec_class
enz56560	2.3.1.22	ec_class
enz56561	2.3.1.23	ec_class
enz56562	2.3.1.24	ec_class
enz56563	2.3.1.25	ec_class
enz56564	2.3.1.26	ec_class
enz56565	2.3.1.27	ec_class
enz56566	2.3.1.28	ec_class
enz56567	2.3.1.29	ec_class
enz56568	2.3.1.3	ec_class
enz56569	2.3.1.30	ec_class
enz56570	2.3.1.31	ec_class
enz56571	2.3.1.32	ec_class
enz56572	2.3.1.33	ec_class
enz56573	2.3.1.34	ec_class
enz56574	2.3.1.35	ec_class
enz56575	2.3.1.36	ec_class
enz56576	2.3.1.37	ec_class
enz56577	2.3.1.38	ec_class
enz56578	2.3.1.39	ec_class
enz56579	2.3.1.4	ec_class
enz56580	2.3.1.40	ec_class
enz56581	2.3.1.41	ec_class
enz56582	2.3.1.42	ec_class
enz56583	2.3.1.43	ec_class
enz56584	2.3.1.44	ec_class
enz56585	2.3.1.45	ec_class
enz56586	2.3.1.46	ec_class
enz56587	2.3.1.47	ec_class
enz56588	2.3.1.48	ec_class
enz56589	2.3.1.49	ec_class
enz56590	2.3.1.5	ec_class
enz56591	2.3.1.50	ec_class
enz56592	2.3.1.51	ec_class
enz56593	2.3.1.52	ec_class
enz56594	2.3.1.53	ec_class
enz56595	2.3.1.54	ec_class
enz56596	2.3.1.56	ec_class
enz56597	2.3.1.57	ec_class
enz56598	2.3.1.58	ec_class
enz56599	2.3.1.59	ec_class
enz56600	2.3.1.6	ec_class
enz56601	2.3.1.61	ec_class
enz56602	2.3.1.62	ec_class
enz56603	2.3.1.63	ec_class
enz56604	2.3.1.64	ec_class
enz56605	2.3.1.65	ec_class
enz56606	2.3.1.66	ec_class
enz56607	2.3.1.67	ec_class
enz56608	2.3.1.68	ec_class
enz56609	2.3.1.69	ec_class
enz56610	2.3.1.7	ec_class
enz56612	2.3.1.71	ec_class
enz56613	2.3.1.72	ec_class
enz56614	2.3.1.73	ec_class
enz56615	2.3.1.74	ec_class
enz56616	2.3.1.75	ec_class
enz56617	2.3.1.76	ec_class
enz56618	2.3.1.77	ec_class
enz56619	2.3.1.78	ec_class
enz56620	2.3.1.79	ec_class
enz56621	2.3.1.8	ec_class
enz56622	2.3.1.80	ec_class
enz56623	2.3.1.81	ec_class
enz56624	2.3.1.83	ec_class
enz56625	2.3.1.84	ec_class
enz56626	2.3.1.85	ec_class
enz56627	2.3.1.86	ec_class
enz56628	2.3.1.87	ec_class
enz56630	2.3.1.89	ec_class
enz56631	2.3.1.9	ec_class
enz56632	2.3.1.90	ec_class
enz56633	2.3.1.91	ec_class
enz56634	2.3.1.92	ec_class
enz56635	2.3.1.93	ec_class
enz56636	2.3.1.94	ec_class
enz56637	2.3.1.95	ec_class
enz56639	2.3.1.97	ec_class
enz56640	2.3.1.98	ec_class
enz56641	2.3.1.99	ec_class
enz56642	2.3.2.1	ec_class
enz56643	2.3.2.10	ec_class
enz56644	2.3.2.11	ec_class
enz56645	2.3.2.12	ec_class
enz56646	2.3.2.13	ec_class
enz56647	2.3.2.14	ec_class
enz56648	2.3.2.15	ec_class
enz56649	2.3.2.2	ec_class
enz56650	2.3.2.3	ec_class
enz56651	4.3.2.9	ec_class
enz56652	2.3.2.5	ec_class
enz56653	2.3.2.6	ec_class
enz56654	2.3.2.7	ec_class
enz56655	2.3.2.8	ec_class
enz56656	2.3.2.9	ec_class
enz56657	2.3.3.1	ec_class
enz56658	2.3.3.10	ec_class
enz56659	2.3.3.11	ec_class
enz56660	2.3.3.12	ec_class
enz56661	2.3.3.14	ec_class
enz56663	2.3.3.2	ec_class
enz56664	2.3.3.3	ec_class
enz56665	2.3.3.4	ec_class
enz56666	2.3.3.5	ec_class
enz56667	2.3.3.6	ec_class
enz56668	2.3.3.7	ec_class
enz56669	2.3.3.8	ec_class
enz56670	2.4.1.1	ec_class
enz56671	2.4.1.10	ec_class
enz56672	2.4.1.100	ec_class
enz56673	2.4.1.101	ec_class
enz56675	2.4.1.104	ec_class
enz56676	2.4.1.105	ec_class
enz56677	2.4.1.106	ec_class
enz56678	2.4.1.11	ec_class
enz56679	2.4.1.110	ec_class
enz56680	2.4.1.111	ec_class
enz56682	2.4.1.113	ec_class
enz56683	2.4.1.114	ec_class
enz56684	2.4.1.115	ec_class
enz56685	2.4.1.116	ec_class
enz56686	2.4.1.117	ec_class
enz56687	2.4.99.18	ec_class
enz56688	2.4.1.120	ec_class
enz56689	2.4.1.121	ec_class
enz56690	2.4.1.127	ec_class
enz56691	2.4.1.128	ec_class
enz56692	2.4.1.129	ec_class
enz56693	2.4.1.13	ec_class
enz56694	2.4.1.136	ec_class
enz56695	2.4.1.138	ec_class
enz56696	2.4.1.139	ec_class
enz56697	2.4.1.140	ec_class
enz56698	2.4.1.15	ec_class
enz56699	2.4.1.153	ec_class
enz56701	2.4.1.156	ec_class
enz56702	2.4.1.158	ec_class
enz56703	2.4.1.159	ec_class
enz56704	2.4.1.16	ec_class
enz56705	2.4.1.160	ec_class
enz56706	2.4.1.161	ec_class
enz56707	2.4.1.162	ec_class
enz56708	2.4.1.165	ec_class
enz56709	2.4.1.166	ec_class
enz56710	2.4.1.167	ec_class
enz56711	2.4.1.168	ec_class
enz56713	2.4.1.17	ec_class
enz56714	2.4.1.170	ec_class
enz56715	2.4.1.171	ec_class
enz56716	2.4.1.172	ec_class
enz56717	2.4.1.176	ec_class
enz56718	2.4.1.180	ec_class
enz56719	2.4.1.181	ec_class
enz56720	2.4.1.184	ec_class
enz56721	2.4.1.185	ec_class
enz56722	2.4.1.187	ec_class
enz56723	2.4.1.188	ec_class
enz56724	2.4.1.189	ec_class
enz56725	2.4.1.19	ec_class
enz56726	2.4.1.190	ec_class
enz56727	2.4.1.191	ec_class
enz56728	2.4.1.192	ec_class
enz56729	2.4.1.193	ec_class
enz56730	2.4.1.197	ec_class
enz56731	2.4.1.2	ec_class
enz56733	2.4.1.205	ec_class
enz56734	2.4.1.208	ec_class
enz56735	2.4.1.21	ec_class
enz56736	2.4.1.219	ec_class
enz56737	2.4.1.22	ec_class
enz56738	2.4.1.220	ec_class
enz56739	2.4.1.224	ec_class
enz56740	2.4.1.225	ec_class
enz56741	2.4.1.226	ec_class
enz56742	2.4.1.227	ec_class
enz56743	2.4.1.228	ec_class
enz56745	2.4.1.23	ec_class
enz56746	2.4.1.24	ec_class
enz56747	2.4.1.25	ec_class
enz56748	2.4.1.26	ec_class
enz56749	2.4.1.27	ec_class
enz56750	2.4.1.28	ec_class
enz56751	2.4.1.29	ec_class
enz56752	2.4.1.30	ec_class
enz56753	2.4.1.31	ec_class
enz56754	2.4.1.32	ec_class
enz56755	2.4.1.33	ec_class
enz56756	2.4.1.34	ec_class
enz56757	2.4.1.35	ec_class
enz56758	2.4.1.36	ec_class
enz56759	2.4.1.37	ec_class
enz56760	2.4.1.39	ec_class
enz56761	2.4.1.4	ec_class
enz56762	2.4.1.40	ec_class
enz56763	2.4.1.41	ec_class
enz56764	2.4.1.43	ec_class
enz56765	2.4.1.44	ec_class
enz56767	2.4.1.46	ec_class
enz56768	2.4.1.47	ec_class
enz56769	2.4.1.48	ec_class
enz56770	2.4.1.49	ec_class
enz56771	2.4.1.5	ec_class
enz56772	2.4.1.50	ec_class
enz56773	2.4.1.52	ec_class
enz56774	2.4.1.53	ec_class
enz56775	2.4.1.54	ec_class
enz56776	2.4.1.56	ec_class
enz56778	2.4.1.58	ec_class
enz56779	2.4.1.60	ec_class
enz56780	2.4.1.62	ec_class
enz56781	2.4.1.63	ec_class
enz56782	2.4.1.64	ec_class
enz56783	2.4.1.68	ec_class
enz56784	2.4.1.69	ec_class
enz56785	2.4.1.70	ec_class
enz56786	2.4.1.71	ec_class
enz56787	2.4.1.73	ec_class
enz56788	2.4.1.74	ec_class
enz56790	2.4.1.78	ec_class
enz56791	2.4.1.79	ec_class
enz56792	2.4.1.8	ec_class
enz56793	2.4.1.80	ec_class
enz56794	2.4.1.81	ec_class
enz56795	2.4.1.83	ec_class
enz56796	2.4.1.85	ec_class
enz56797	2.4.1.87	ec_class
enz56798	2.4.1.88	ec_class
enz56799	2.4.1.9	ec_class
enz56800	2.4.1.90	ec_class
enz56801	2.4.1.91	ec_class
enz56802	2.4.1.92	ec_class
enz56804	2.4.1.94	ec_class
enz56806	2.4.1.96	ec_class
enz56807	2.4.1.99	ec_class
enz56808	2.4.2.1	ec_class
enz56809	2.4.2.10	ec_class
enz56810	2.4.2.12	ec_class
