namespace	strain_number
str10901	CCUG 7980	culture_number
str10901	CDBB 597	culture_number
str10901	CECT 185	culture_number
str10901	CGMCC 1.1936	culture_number
str10901	CIP 20481	culture_number
str10901	CIP 70.56	culture_number
str10901	CNCTC 6911	culture_number
str10901	DSM 20481	culture_number
str10901	HAMBI 1591	culture_number
str10901	IMET 10699	culture_number
str10901	JCM 5805	culture_number
str10901	KCTC 3508	culture_number
str10901	KCTC 3769	culture_number
str10901	LMG 6890	culture_number
str10901	NBIMCC 4000	culture_number
str10901	NBRC 100933	culture_number
str10901	NCAIM B.02070	culture_number
str10901	NCDO 604	culture_number
str10901	NCFB 604	culture_number
str10901	NCIB 6681	culture_number
str10901	NCIMB 6681	culture_number
str10901	NCTC 6681	culture_number
str10901	VKM B-1662	culture_number
str10901	VTT E-90395	culture_number
str1091	IMI 303386	culture_number
str10913	ATCC 34319	culture_number
str10922	DSM 16514	culture_number
str10922	VTT D-071258	culture_number
str10929	CCM F-340	culture_number
str1094	ATCC 10864	culture_number
str1094	BCRC 31494	culture_number
str1094	CBS 122.49	culture_number
str1094	CCRC 31494	culture_number
str1094	CDBB 178	culture_number
str1094	CECT 2775	culture_number
str1094	CGMCC 3.0795	culture_number
str1094	IAM 2533	culture_number
str1094	IAM 3009	culture_number
str1094	IFO 6661	culture_number
str1094	IHEM 5788	culture_number
str1094	IMI 60286	culture_number
str1094	JCM 22343	culture_number
str1094	JCM 22438	culture_number
str1094	MUCL 28817	culture_number
str1094	NBRC 6661	culture_number
str1094	NCIM 616	culture_number
str1094	NRRL 330	culture_number
str1094	VKM F-3746	culture_number
str10944	BCRC 17492	culture_number
str10944	CCRC 17492	culture_number
str10944	DSM 19706	culture_number
str10944	JCM 13379	culture_number
str10960	ATCC 25934	culture_number
str10960	NCTC 10110	culture_number
str10963	ATCC 33913	culture_number
str10963	BCRC 12846	culture_number
str10963	CBMAI 199	culture_number
str10963	CCRC 12846	culture_number
str10963	CCUG 47691	culture_number
str10963	CECT 97	culture_number
str10963	CFBP 2350	culture_number
str10963	CFBP 5241	culture_number
str10963	CFBP 5251	culture_number
str10963	CIP 100069	culture_number
str10963	DSM 3586	culture_number
str10963	ICMP 13	culture_number
str10963	ICMP 5716	culture_number
str10963	JCM 13371	culture_number
str10963	KACC 10913	culture_number
str10963	LMG 568	culture_number
str10963	NCPPB 528	culture_number
str10963	PDDCC 13	culture_number
str10964	ATCC 12046	culture_number
str10964	BCRC 12259	culture_number
str10964	CCRC 12259	culture_number
str10964	CIP 57.15	culture_number
str10964	JCM 1554	culture_number
str10964	LMG 13522	culture_number
str10964	NCDO 1829	culture_number
str10964	NCIB 8733	culture_number
str10964	NCIMB 8733	culture_number
str10964	NCIMB 8934	culture_number
str10966	ATCC 39727	culture_number
str10966	DSM 100948	culture_number
str10967	ATCC 39315	culture_number
str10967	CIP 106855	culture_number
str10970	DSM 24522	culture_number
str10971	VTT E-95569	culture_number
str10972	ATCC 23059	culture_number
str10972	BCRC 14644	culture_number
str10972	CCRC 14644	culture_number
str10972	LMD 72.49	culture_number
str10972	NCCB 72049	culture_number
str10972	NRRL B-14472	culture_number
str10972	VTT E-84207	culture_number
str10974	ATCC 35210	culture_number
str10974	BCRC 17180	culture_number
str10974	CCRC 17180	culture_number
str10974	CCUG 44922	culture_number
str10974	CIP 102532	culture_number
str10974	DSM 4680	culture_number
str10977	FGSC 7342	culture_number
str10980	CFBP 6595	culture_number
str10980	DSM 19095	culture_number
str10980	DSM 196095	culture_number
str10980	LMG 27888	culture_number
str10985	CBS 422.63	culture_number
str10985	CCM 3268	culture_number
str10985	DSM 43353	culture_number
str10985	JCM 3215	culture_number
str10985	NCIMB 11365	culture_number
str10985	VKM AC-1428	culture_number
str10985	VKM AC-680	culture_number
str10988	ATCC BAA-250	culture_number
str10988	BCRC 17607	culture_number
str10988	CCRC 17607	culture_number
str10988	LMG 18311	culture_number
str10988	NCFB 2075	culture_number
str10988	NCFB 2393	culture_number
str10989	ATCC 43971	culture_number
str10989	ATCC 700720	culture_number
str10989	CCUG 42060	culture_number
str10989	CECT 722	culture_number
str10989	CIP 60.62	culture_number
str10989	DSM 17058	culture_number
str10989	IFO 13245	culture_number
str10989	KCTC 12456	culture_number
str10989	LMG 7233	culture_number
str10989	NBRC 13245	culture_number
str10989	NCIB 11450	culture_number
str10989	NCIMB 11450	culture_number
str10989	NCTC 12416	culture_number
str10992	ATCC 35520	culture_number
str10993	ATCC 35521	culture_number
str10995	NCDO 586	culture_number
str10995	NCIMB 700586	culture_number
str10998	NCIMB 8608	culture_number
str10999	DSM 45556	culture_number
str1100	ATCC 9642	culture_number
str1100	BCRC 31512	culture_number
str1100	CBMAI 552	culture_number
str1100	CBS 246.65	culture_number
str1100	CCRC 31512	culture_number
str1100	CCT 0488	culture_number
str1100	CCT 1220	culture_number
str1100	CCUG 48753	culture_number
str1100	CDBB 905	culture_number
str1100	CECT 2700	culture_number
str1100	DBVPG 8917	culture_number
str1100	DSM 63263	culture_number
str1100	IAM 3002	culture_number
str1100	ICMP 7591	culture_number
str1100	IFO 6342	culture_number
str1100	IHEM 3797	culture_number
str1100	IMI 91855	culture_number
str1100	JCM 22434	culture_number
str1100	KCTC 1374	culture_number
str1100	KCTC 6960	culture_number
str1100	KCTC 6986	culture_number
str1100	MUCL 19001	culture_number
str1100	NBRC 6342	culture_number
str1100	NCIM 1025	culture_number
str1100	NRRL 3536	culture_number
str1100	UAMH 7576	culture_number
str11001	CCMP 544	culture_number
str11003	ATCC 201388	culture_number
str11003	ATCC 4040002	culture_number
str11004	ATCC 25904	culture_number
str11004	BCRC 15308	culture_number
str11004	CCM 2773	culture_number
str11004	CCRC 15308	culture_number
str11004	CCUG 54581	culture_number
str11004	NCTC 10833	culture_number
str11006	CIP 110614	culture_number
str11006	DSM 23020	culture_number
str11007	ATCC 700808	culture_number
str11007	CECT 7647	culture_number
str11007	DSM 15171	culture_number
str11007	LMG 23168	culture_number
str11008	ATCC 25762	culture_number
str11008	ATCC 3584	culture_number
str11008	BCRC 11259	culture_number
str11008	CBMAI 691	culture_number
str11008	CCRC 11259	culture_number
str11008	CCT 1447	culture_number
str11008	CCT 4390	culture_number
str11008	CCT 7406	culture_number
str11008	CCUG 15941	culture_number
str11008	CECT 892	culture_number
str11008	CIP 106155	culture_number
str11008	DSM 795	culture_number
str11008	IFO 13950	culture_number
str11008	JCM 1416	culture_number
str11008	KCTC 56554	culture_number
str11008	LMG 8421	culture_number
str11008	NBRC 13950	culture_number
str11008	NCIB 10696	culture_number
str11008	NCIM 5114	culture_number
str11008	NCIMB 10696	culture_number
str11008	NCTC 13020	culture_number
str11008	VTT E-001748	culture_number
str11009	ATCC 27264	culture_number
str11009	CCAP 1400/1	culture_number
str11009	PCC 7002	culture_number
str11009	UTEX 2268	culture_number
str11010	CCMP 1378	culture_number
str11010	CCMP 1986	culture_number
str11010	CCMP 2389	culture_number
str11010	NIES 2087	culture_number
str11015	CCUG 59324	culture_number
str11016	CCUG 59328	culture_number
str11019	CCUG 62643	culture_number
str11028	CCM 7605	culture_number
str11028	CECT 7082	culture_number
str11028	DSM 17300	culture_number
str11028	LMG 24874	culture_number
str11031	CCUG 59333	culture_number
str11032	CCUG 59330	culture_number
str11033	CCUG 59322	culture_number
str11034	CCUG 59327	culture_number
str11035	ATCC 29667	culture_number
str11037	CCUG 59325	culture_number
str11038	CCUG 59320	culture_number
str11039	ATCC 49456	culture_number
str11039	BCRC 14732	culture_number
str11039	CCM 7411	culture_number
str11039	CCRC 14732	culture_number
str11039	CCUG 27308	culture_number
str11039	CCUG 31611	culture_number
str11039	CCUG 35790	culture_number
str11039	CIP 103335	culture_number
str11039	DSM 12643	culture_number
str11039	JCM 12971	culture_number
str11039	KCTC 13047	culture_number
str11039	KCTC 3556	culture_number
str11039	LMG 14557	culture_number
str11039	NCIMB 13770	culture_number
str11039	NCTC 12261	culture_number
str1104	ATCC 18633	culture_number
str11044	ATCC 10556	culture_number
str11044	ATCC 15300	culture_number
str11044	BCRC 10800	culture_number
str11044	CCM 4047	culture_number
str11044	CCRC 10800	culture_number
str11044	CCUG 17826	culture_number
str11044	CCUG 35770	culture_number
str11044	CECT 480	culture_number
str11044	CIP 55.128	culture_number
str11044	CIP 55128	culture_number
str11044	CNCTC 6714	culture_number
str11044	DSM 20567	culture_number
str11044	JCM 5708	culture_number
str11044	KCTC 3284	culture_number
str11044	LMG 14702	culture_number
str11044	NCDO 2064	culture_number
str11044	NCFB 2064	culture_number
str11044	NCIMB 702064	culture_number
str11044	NCTC 7863	culture_number
str11048	DSM 22895	culture_number
str1105	NBIMCC 3741	culture_number
str11050	DSM 22896	culture_number
str11051	DSM 22896	culture_number
str11052	ATCC 700451	culture_number
str11052	ATCC BAA-1213	culture_number
str11054	DSM 22895	culture_number
str11056	ATCC 14887	culture_number
str11056	ATCC 25715	culture_number
str11056	BCRC 11929	culture_number
str11056	CCRC 11929	culture_number
str11056	CCUG 17758	culture_number
str11056	CIP 107070	culture_number
str11056	DSM 26605	culture_number
str11056	DSM 43199	culture_number
str11056	ICMP 4147	culture_number
str11056	IMET 7279	culture_number
str11056	JCM 3223	culture_number
str11056	LMG 7335	culture_number
str11056	NCIB 10027	culture_number
str11056	NCIMB 10027	culture_number
str11056	PDDCC 4147	culture_number
str11056	VKM AC-957	culture_number
str11057	ATCC 56498	culture_number
str11057	BCRC 22065	culture_number
str11057	CBMAI 548	culture_number
str11057	CBS 683	culture_number
str11057	CCRC 22065	culture_number
str11057	CCT 2653	culture_number
str11057	CECT 1961	culture_number
str11057	CLIB 196	culture_number
str11057	DBVPG 6305	culture_number
str11057	DSM 4394	culture_number
str11057	IFO 1090	culture_number
str11057	KCTC 7138	culture_number
str11057	KCTC 7154	culture_number
str11057	KCTC 7679	culture_number
str11057	MUCL 28769	culture_number
str11057	NBIMCC 2209	culture_number
str11057	NBRC 1090	culture_number
str11057	NCAIM Y.01080	culture_number
str11057	NCYC 416	culture_number
str11057	NRRL Y-8279	culture_number
str11058	AS 2.1884	culture_number
str11058	ATCC 58438	culture_number
str11058	BCRC 21498	culture_number
str11058	CBS 3082	culture_number
str11058	CCRC 21498	culture_number
str11058	CECT 10677	culture_number
str11058	CECT 11039	culture_number
str11058	CGMCC 2.1884	culture_number
str11058	CLIB 182	culture_number
str11058	DBVPG 6177	culture_number
str11058	IFO 1685	culture_number
str11058	JCM 7257	culture_number
str11058	KCTC 7805	culture_number
str11058	MUCL 31266	culture_number
str11058	NBRC 1685	culture_number
str11058	NCAIM Y.00978	culture_number
str11058	NCYC 543	culture_number
str11058	NRRL Y-12651	culture_number
str11058	VKM Y-1295	culture_number
str11058	VKM Y-448	culture_number
str11060	ATCC 32221	culture_number
str11060	CBS 527.72	culture_number
str11060	NCAIM F.00827	culture_number
str11062	CCMP 2514	culture_number
str11065	LMG 27626	culture_number
str11068	CBS 608.70	culture_number
str11069	ATCC 27178	culture_number
str11069	PCC 6714	culture_number
str11069	SAG 92.79	culture_number
str11069	UTEX 2470	culture_number
str11070	ATCC 24905	culture_number
str11070	BCRC 30546	culture_number
str11070	CBS 416.77	culture_number
str11070	CCM F-220	culture_number
str11070	CCRC 30546	culture_number
str11070	CCT 2665	culture_number
str11070	CCUG 22424	culture_number
str11070	CDBB 288	culture_number
str11070	CECT 2655	culture_number
str11070	CGMCC 3.4945	culture_number
str11070	DSM 1191	culture_number
str11070	UAMH 8113	culture_number
str11074	ATCC 24698	culture_number
str11074	BCRC 32683	culture_number
str11074	CBS 708.71	culture_number
str11074	CCRC 32683	culture_number
str11074	CCT 2680	culture_number
str11074	CECT 2727	culture_number
str11074	DSM 1257	culture_number
str11074	FGSC 987	culture_number
str11075	CFBP 7177	culture_number
str11075	CIP 109463	culture_number
str11075	DSM 17950	culture_number
str11075	LMG 25318	culture_number
str11075	NCPPB 4357	culture_number
str11078	ATCC BAA-1087	culture_number
str11079	DSM 100120	culture_number
str11081	ATCC 48272	culture_number
str11081	BCRC 31697	culture_number
str11081	CCRC 31697	culture_number
str11081	CECT 2721	culture_number
str11081	MUCL 38959	culture_number
str11082	NCIMB 9866	culture_number
str11084	DSM 10061	culture_number
str11084	LMG 14027	culture_number
str11085	DSM 17205	culture_number
str11085	KCTC 12402	culture_number
str11086	ATCC 51408	culture_number
str11087	ATCC 14123	culture_number
str11087	BCRC 17542	culture_number
str11087	CCRC 17542	culture_number
str11087	CCUG 27769	culture_number
str11087	IFO 14297	culture_number
str11087	KCTC 2756	culture_number
str11087	KCTC 2811	culture_number
str11087	NBRC 14297	culture_number
str11087	NCIMB 11845	culture_number
str11088	ATCC 24554	culture_number
str11090	ATCC 19996	culture_number
str11090	DSM 2603	culture_number
str11090	NCIB 8401	culture_number
str11090	NCIMB 8401	culture_number
str11090	VKM B-1757	culture_number
str11091	ATCC 17899	culture_number
str11091	DSM 180	culture_number
str11091	KCTC 2671	culture_number
str11091	NBRC 103801	culture_number
str11091	NCIMB 10441	culture_number
str11092	ATCC 49652	culture_number
str11092	CIP 105973	culture_number
str11092	DSM 12025	culture_number
str11092	NBRC 103806	culture_number
str11095	ATCC BAA-535	culture_number
str11096	BCRC 11569	culture_number
str11096	CCRC 11569	culture_number
str11096	IFO 3283	culture_number
str11096	LMG 1513	culture_number
str11096	NBRC 3283	culture_number
str11099	ATCC 33825	culture_number
str111	ATCC 32319	culture_number
str111	CBS 547.75	culture_number
str111	CCT 1902	culture_number
str111	CDBB 251	culture_number
str111	CECT 2104	culture_number
str111	IHEM 5660	culture_number
str111	IMI 185905	culture_number
str111	MUCL 39287	culture_number
str111	VTT D-83217	culture_number
str1110	ATCC 9029	culture_number
str1110	BCRC 32720	culture_number
str1110	CBS 120.49	culture_number
str1110	CCRC 32720	culture_number
str1110	CCT 4155	culture_number
str1110	CDBB 175	culture_number
str1110	CECT 2088	culture_number
str1110	DSM 2466	culture_number
str1110	IAM 13840	culture_number
str1110	IMI 41876	culture_number
str1110	JCM 12729	culture_number
str1110	KCTC 6278	culture_number
str1110	MUCL 30480	culture_number
str1110	MUCL 38994	culture_number
str1110	NBIMCC 3573	culture_number
str1110	NCIM 545	culture_number
str1110	NRRL 3	culture_number
str1110	NRRL 566	culture_number
str1110	VKM F-3747	culture_number
str1110	VTT D-85240	culture_number
str11100	ATCC 27343	culture_number
str11100	CCUG 32752	culture_number
str11100	CIP 104620	culture_number
str11100	NCTC 10154	culture_number
str11104	ACM 3992	culture_number
str11104	ATCC 25586	culture_number
str11104	BCRC 10681	culture_number
str11104	CCRC 10681	culture_number
str11104	CCUG 32989	culture_number
str11104	CCUG 33059	culture_number
str11104	CIP 101130	culture_number
str11104	DSM 15643	culture_number
str11104	JCM 8532	culture_number
str11104	KCTC 2640	culture_number
str11104	KCTC 5103	culture_number
str11104	LMG 13131	culture_number
str11105	ATCC 43971	culture_number
str11105	ATCC 700720	culture_number
str11105	CCUG 42060	culture_number
str11105	CECT 722	culture_number
str11105	CIP 60.62	culture_number
str11105	DSM 17058	culture_number
str11105	IFO 13245	culture_number
str11105	KCTC 12456	culture_number
str11105	LMG 7233	culture_number
str11105	NBRC 13245	culture_number
str11105	NCIB 11450	culture_number
str11105	NCIMB 11450	culture_number
str11105	NCTC 12416	culture_number
str11106	ATCC BAA-588	culture_number
str11109	ATCC 29341	culture_number
str11109	CCUG 24034	culture_number
str11109	CGMCC 1.2368	culture_number
str11109	DSM 671	culture_number
str11109	JCM 9409	culture_number
str11109	NCIMB 2080	culture_number
str11114	AS 4.1079	culture_number
str11114	ATCC 15835	culture_number
str11114	BCRC 11561	culture_number
str11114	CBS 620.66	culture_number
str11114	CBS 648.71	culture_number
str11114	CCRC 11561	culture_number
str11114	CECT 3088	culture_number
str11114	CGMCC 4.1079	culture_number
str11114	CIP 102502	culture_number
str11114	DSM 43036	culture_number
str11114	DSM 43820	culture_number
str11114	IFO 12575	culture_number
str11114	IFO 13150	culture_number
str11114	IMET 8212	culture_number
str11114	JCM 3074	culture_number
str11114	KACC 20105	culture_number
str11114	KCTC 1050	culture_number
str11114	NBIMCC 3386	culture_number
str11114	NBRC 12575	culture_number
str11114	NBRC 13150	culture_number
str11114	NCIMB 12882	culture_number
str11114	NRRL 2953	culture_number
str11116	ACM 5063	culture_number
str11116	ATCC 14028	culture_number
str11116	BCRC 10747	culture_number
str11116	CCM 7205	culture_number
str11116	CCRC 10747	culture_number
str11116	CCT 1478	culture_number
str11116	CCUG 31969	culture_number
str11116	CECT 4594	culture_number
str11116	CGMCC 1.1859	culture_number
str11116	CIP 104115	culture_number
str11116	DSM 19587	culture_number
str11116	ICMP 15672	culture_number
str11116	KCTC 2515	culture_number
str11116	LMG 14933	culture_number
str11116	NBIMCC 3669	culture_number
str11116	NCIB 13284	culture_number
str11116	NCIMB 13284	culture_number
str11116	NCTC 12023	culture_number
str11116	VTT E-97833	culture_number
str11122	VKM F-3808	culture_number
str11123	ATCC 10782	culture_number
str11123	CIP 56.61	culture_number
str11123	IMET 3072	culture_number
str11123	NCTC 8305	culture_number
str11148	CECT 732	culture_number
str11148	CIP 52.171	culture_number
str11148	NCTC 8960	culture_number
str11159	CCUG 13937	culture_number
str11159	LMG 5347	culture_number
str11164	BCRC 17562	culture_number
str11164	CCRC 17562	culture_number
str11164	DSM 15325	culture_number
str11164	LMG 23033	culture_number
str11164	VKM B-2294	culture_number
str1117	DSM 104461	culture_number
str11172	CIP 107618	culture_number
str11172	DSM 14371	culture_number
str11172	JCM 11309	culture_number
str11172	KCTC 3954	culture_number
str11174	DSM 15229	culture_number
str11174	JCM 11827	culture_number
str11179	AS 1.2212	culture_number
str11179	ATCC 29521	culture_number
str11179	BCRC 11845	culture_number
str11179	BCRC 14615	culture_number
str11179	CCRC 11845	culture_number
str11179	CCRC 14615	culture_number
str11179	CCUG 18364	culture_number
str11179	CCUG 45217	culture_number
str11179	CECT 870	culture_number
str11179	CGMCC 1.2212	culture_number
str11179	CIP 56.7	culture_number
str11179	DSM 20456	culture_number
str11179	HAMBI 1380	culture_number
str11179	IFO 14252	culture_number
str11179	JCM 1255	culture_number
str11179	KCTC 3202	culture_number
str11179	KCTC 3281	culture_number
str11179	LMG 10496	culture_number
str11179	LMG 11041	culture_number
str11179	LMG 13199	culture_number
str11179	LMG 13210	culture_number
str11179	LMG 8810	culture_number
str11179	NBRC 100015	culture_number
str11179	NBRC 14252	culture_number
str11179	NCAIM B.02021	culture_number
str11179	NCDO 2715	culture_number
str11179	NCFB 2715	culture_number
str11179	NCIMB 702715	culture_number
str11179	NCTC 13001	culture_number
str11179	NRRL B-41410	culture_number
str11179	VTT E-97795	culture_number
str1118	ATCC 9029	culture_number
str1118	BCRC 32720	culture_number
str1118	CBS 120.49	culture_number
str1118	CCRC 32720	culture_number
str1118	CCT 4155	culture_number
str1118	CDBB 175	culture_number
str1118	CECT 2088	culture_number
str1118	DSM 2466	culture_number
str1118	IAM 13840	culture_number
str1118	IMI 41876	culture_number
str1118	JCM 12729	culture_number
str1118	KCTC 6278	culture_number
str1118	MUCL 30480	culture_number
str1118	MUCL 38994	culture_number
str1118	NBIMCC 3573	culture_number
str1118	NCIM 545	culture_number
str1118	NRRL 3	culture_number
str1118	NRRL 566	culture_number
str1118	VKM F-3747	culture_number
str1118	VTT D-85240	culture_number
str11180	ATCC 15698	culture_number
str11180	BCRC 14601	culture_number
str11180	CCRC 14601	culture_number
str11180	CCUG 24611	culture_number
str11180	CCUG 45220	culture_number
str11180	CIP 64.66	culture_number
str11180	DSM 20091	culture_number
str11180	JCM 1273	culture_number
str11180	KCTC 3461	culture_number
str11180	LMG 10737	culture_number
str11180	LMG 13194	culture_number
str11180	NCDO 2258	culture_number
str11180	NCFB 2258	culture_number
str11180	NCIMB 702258	culture_number
str11181	AS 1.2213	culture_number
str11181	ATCC 15700	culture_number
str11181	BCRC 11846	culture_number
str11181	CCRC 11846	culture_number
str11181	CCUG 18365	culture_number
str11181	CCUG 30511	culture_number
str11181	CECT 4839	culture_number
str11181	CGMCC 1.2213	culture_number
str11181	CIP 64.69	culture_number
str11181	DSM 20213	culture_number
str11181	HAMBI 558	culture_number
str11181	JCM 1192	culture_number
str11181	KCTC 3220	culture_number
str11181	LMG 10501	culture_number
str11181	LMG 11042	culture_number
str11181	LMG 13208	culture_number
str11181	NCAIM B.01820	culture_number
str11181	NCDO 2257	culture_number
str11181	NCFB 2257	culture_number
str11181	NCIMB 702257	culture_number
str11181	NCTC 11815	culture_number
str11181	NRRL B-41408	culture_number
str11181	VTT E-981075	culture_number
str11182	AS 1.1853	culture_number
str11182	AS 1.2202	culture_number
str11182	ATCC 15697	culture_number
str11182	BCRC 14602	culture_number
str11182	BCRC 15416	culture_number
str11182	CCM 4990	culture_number
str11182	CCRC 14602	culture_number
str11182	CCRC 15416	culture_number
str11182	CCUG 18368	culture_number
str11182	CCUG 30512	culture_number
str11182	CECT 4551	culture_number
str11182	CGMCC 1.1853	culture_number
str11182	CGMCC 1.2202	culture_number
str11182	CIP 64.67	culture_number
str11182	DSM 20088	culture_number
str11182	HAMBI 1374	culture_number
str11182	HAMBI 555	culture_number
str11182	HAMBI 574	culture_number
str11182	JCM 1222	culture_number
str11182	KCTC 3249	culture_number
str11182	KCTC 3270	culture_number
str11182	LMG 10499	culture_number
str11182	LMG 11046	culture_number
str11182	LMG 13203	culture_number
str11182	LMG 8811	culture_number
str11182	NCAIM B.01821	culture_number
str11182	NCDO 2205	culture_number
str11182	NCFB 2205	culture_number
str11182	NCIMB 702205	culture_number
str11182	NCTC 11817	culture_number
str11182	NRRL B-41661	culture_number
str11182	VTT E-021916	culture_number
str11182	VTT E-97796	culture_number
str11183	DSM 20439	culture_number
str11183	KCTC 3481	culture_number
str11183	LMG 11593	culture_number
str11184	DSM 20095	culture_number
str11184	JCM 1267	culture_number
str11184	KCTC 3464	culture_number
str11184	LMG 11595	culture_number
str1119	NRRL B-1908	culture_number
str11191	ATCC 27533	culture_number
str11191	BCRC 14671	culture_number
str11191	CCRC 14671	culture_number
str11191	CCUG 35234	culture_number
str11191	CGMCC 1.2184	culture_number
str11191	CIP 103377	culture_number
str11191	DSM 20211	culture_number
str11191	HAMBI 1381	culture_number
str11191	JCM 1269	culture_number
str11191	LMG 11598	culture_number
str11191	LMG 21814	culture_number
str11191	NRRL B-41407	culture_number
str11191	VTT E-021921	culture_number
str11192	DSM 20224	culture_number
str11192	JCM 1257	culture_number
str11192	JCM 7130	culture_number
str11192	LMG 18894	culture_number
str11193	BCRC 14658	culture_number
str11193	CCRC 14658	culture_number
str11193	DSM 20087	culture_number
str11193	JCM 1251	culture_number
str11193	KCTC 3459	culture_number
str11193	LMG 11579	culture_number
str11194	AS 1.2268	culture_number
str11194	ATCC 25527	culture_number
str11194	BCRC 14668	culture_number
str11194	CCM 4988	culture_number
str11194	CCRC 14668	culture_number
str11194	CCUG 24606	culture_number
str11194	CCUG 33907	culture_number
str11194	CGMCC 1.2268	culture_number
str11194	CIP 105419	culture_number
str11194	DSM 20104	culture_number
str11194	HAMBI 112	culture_number
str11194	JCM 1190	culture_number
str11194	KCTC 3125	culture_number
str11194	KCTC 3219	culture_number
str11194	LMG 10508	culture_number
str11194	LMG 11083	culture_number
str11194	LMG 17135	culture_number
str11194	NCAIM B.02018	culture_number
str11194	NCDO 2242	culture_number
str11194	NCFB 2242	culture_number
str11194	NCIMB 702242	culture_number
str11194	NRRL B-41406	culture_number
str11194	VTT E-96663	culture_number
str11195	BCRC 17394	culture_number
str11195	CCRC 17394	culture_number
str11195	CCUG 37979	culture_number
str11195	CGMCC 1.2226	culture_number
str11195	CIP 105265	culture_number
str11195	DSM 10140	culture_number
str11195	JCM 10602	culture_number
str11195	LMG 18314	culture_number
str11195	NCAIM B.02020	culture_number
str11195	NRRL B-41405	culture_number
str11195	VTT E-97847	culture_number
str11199	AS 1.1796	culture_number
str11199	ATCC 33634	culture_number
str11199	BCRC 11041	culture_number
str11199	CCRC 11041	culture_number
str11199	CCUG 12538	culture_number
str11199	CGMCC 1.1796	culture_number
str11199	CIP 106747	culture_number
str11199	DSM 14399	culture_number
str11199	IAM 1439	culture_number
str11199	IFO 12694	culture_number
str11199	JCM 2782	culture_number
str11199	KCTC 12325	culture_number
str11199	LMG 21614	culture_number
str11199	NBRC 12694	culture_number
str11199	NCIMB 13640	culture_number
str11199	VTT E-012028	culture_number
str112	CECT 7187	culture_number
str1120	NRRL B-1908	culture_number
str11203	ATCC 58688	culture_number
str11206	ATCC 22842	culture_number
str11208	DSM 18391	culture_number
str1121	NRRL B-1908	culture_number
str11210	ATCC BAA-1260	culture_number
str11210	DSM 17861	culture_number
str11210	LMG 24392	culture_number
str11211	ACM 5060	culture_number
str11211	ATCC 12453	culture_number
str11211	BCRC 10726	culture_number
str11211	CCRC 10726	culture_number
str11211	CCUG 34293	culture_number
str11211	DSM 18254	culture_number
str11212	ATCC 11859	culture_number
str11212	BCRC 11596	culture_number
str11212	CCM 2056	culture_number
str11212	CCRC 11596	culture_number
str11212	CCT 0538	culture_number
str11212	CCUG 7425	culture_number
str11212	CIP 66.21	culture_number
str11212	DSM 33	culture_number
str11212	HAMBI 1877	culture_number
str11212	KCTC 3558	culture_number
str11212	LMD 48.21	culture_number
str11212	LMG 7130	culture_number
str11212	NCCB 48021	culture_number
str11212	NCDO 1776	culture_number
str11212	NCFB 1776	culture_number
str11212	NCIB 8219	culture_number
str11212	NCIB 8841	culture_number
str11212	NCIB 9241	culture_number
str11212	NCIM 2477	culture_number
str11212	NCIMB 8219	culture_number
str11212	NCIMB 8841	culture_number
str11212	NCTC 4822	culture_number
str11212	NCTC 48722	culture_number
str11212	NRRL NRS-673	culture_number
str11212	VKM B-513	culture_number
str1122	ATCC 10635	culture_number
str1122	ATCC 24233	culture_number
str1122	BCRC 22781	culture_number
str1122	CBS 106	culture_number
str1122	CCRC 22781	culture_number
str1122	DBVPG 6791	culture_number
str1122	IAM 12828	culture_number
str1122	IFO 0631	culture_number
str1122	JCM 2186	culture_number
str1122	KCTC 17384	culture_number
str1122	NBRC 0631	culture_number
str1122	NCIM 3406	culture_number
str1122	NCTC 485	culture_number
str1122	NCYC 31	culture_number
str1122	NRRL Y-1381	culture_number
str11220	ATCC BAA-1032	culture_number
str11220	CIP 108753	culture_number
str11220	DSM 17277	culture_number
str11220	JCM 12611	culture_number
str11220	LMG 23573	culture_number
str11221	AS 1.1800	culture_number
str11221	ATCC 15173	culture_number
str11221	BCRC 12838	culture_number
str11221	BCRC 14342	culture_number
str11221	CCM 3427	culture_number
str11221	CCRC 12838	culture_number
str11221	CCRC 14342	culture_number
str11221	CCUG 407	culture_number
str11221	CECT 449	culture_number
str11221	CGMCC 1.1800	culture_number
str11221	CIP 77.15	culture_number
str11221	CIP 7715	culture_number
str11221	DSM 30026	culture_number
str11221	DSM 4612	culture_number
str11221	DSM 60	culture_number
str11221	IAM 12370	culture_number
str11221	IFO 15125	culture_number
str11221	JCM 5490	culture_number
str11221	JCM 9657	culture_number
str11221	KCTC 12447	culture_number
str11221	LMG 1231	culture_number
str11221	LMG 3510	culture_number
str11221	NBRC 15125	culture_number
str11221	NCIB 11961	culture_number
str11221	NCIMB 11961	culture_number
str11221	NCTC 8582	culture_number
str11221	VTT E-991293	culture_number
str1123	ATCC 11414	culture_number
str1123	ATCC 26550	culture_number
str1123	CCT 0916	culture_number
str1123	CDBB 943	culture_number
str1123	CECT 2805	culture_number
str1123	CECT 2806	culture_number
str1123	IMI 075353	culture_number
str1123	KCTC 6965	culture_number
str1123	NCAIM F.00893	culture_number
str1123	NCIM 587	culture_number
str1123	NCIM 594	culture_number
str1123	NCIM 684	culture_number
str1123	NRRL 2270	culture_number
str1123	VTT D-77050	culture_number
str1123	VTT D-77053	culture_number
str11231	ATCC 90028	culture_number
