namespace	strain_number
str10074	VKM B-1748	culture_number
str10076	ATCC 33171	culture_number
str10076	CGMCC 1.1958	culture_number
str10076	CIP 104033	culture_number
str10076	DSM 3754	culture_number
str10076	IAM 13166	culture_number
str10076	JCM 8978	culture_number
str10076	NBRC 102687	culture_number
str10076	NCIMB 764	culture_number
str10076	NCMB 764	culture_number
str10076	NCMB 766	culture_number
str10076	VKM B-1769	culture_number
str10076	VTT E-103154	culture_number
str10077	ATCC 2001	culture_number
str10077	ATCC 36583	culture_number
str10077	BCC 5411	culture_number
str10077	BCRC 20586	culture_number
str10077	CBS 138	culture_number
str10077	CCRC 20586	culture_number
str10077	CECT 11865	culture_number
str10077	CECT 1448	culture_number
str10077	CLIB 298	culture_number
str10077	DBVPG 3828	culture_number
str10077	IFO 0622	culture_number
str10077	JCM 3761	culture_number
str10077	KCTC 1714	culture_number
str10077	KCTC 7219	culture_number
str10077	KCTC 7946	culture_number
str10077	MUCL 29833	culture_number
str10077	NBRC 0622	culture_number
str10077	NCAIM Y.00281	culture_number
str10077	NCPF 3309	culture_number
str10077	NRRL Y-1417	culture_number
str10077	NRRL Y-65	culture_number
str10077	VKM Y-1481	culture_number
str10077	VTT C-74074	culture_number
str10079	NCYC 1478	culture_number
str10079	VTT C-05652	culture_number
str10080	ATCC 29145	culture_number
str10080	BCRC 12270	culture_number
str10080	CCM 3862	culture_number
str10080	CCRC 12270	culture_number
str10080	CDBB 1229	culture_number
str10080	CDBB 22	culture_number
str10080	CECT 590	culture_number
str10080	DSM 1690	culture_number
str10080	IAM 12400	culture_number
str10080	ICMP 8671	culture_number
str10080	IMET 11303	culture_number
str10080	JCM 1224	culture_number
str10080	LMG 1263	culture_number
str10080	LMG 13127	culture_number
str10080	NBRC 102289	culture_number
str10080	NCIB 11860	culture_number
str10080	NCIMB 11860	culture_number
str10080	NRRL B-14647	culture_number
str10080	VKM B-1547	culture_number
str10081	DSM 12597	culture_number
str10084	ATCC 28686	culture_number
str10084	BCRC 33339	culture_number
str10084	CCRC 33339	culture_number
str10084	KCTC 6277	culture_number
str10084	KCTC 6387	culture_number
str10088	DSM 63298	culture_number
str10089	ATCC BAA-894	culture_number
str10090	ATCC 12996	culture_number
str10090	ATCC 26451	culture_number
str10090	ATCC 38163	culture_number
str10090	CBS 112.46	culture_number
str10090	NRRL 194	culture_number
str10092	ATCC BAA-471	culture_number
str10093	ATCC 29715	culture_number
str10093	BCRC 14343	culture_number
str10093	CCM 3404	culture_number
str10093	CCRC 14343	culture_number
str10093	CGMCC 1.2048	culture_number
str10093	DSM 3756	culture_number
str10093	IAM 13170	culture_number
str10093	IAM 13180	culture_number
str10093	IFO 14741	culture_number
str10093	JCM 8877	culture_number
str10093	NBRC 14741	culture_number
str10093	NCIMB 2082	culture_number
str10093	NCMB 2082	culture_number
str10093	VKM B-1398	culture_number
str10093	VKM B-1791	culture_number
str10094	DSM 2338	culture_number
str10094	JCM 9278	culture_number
str10094	NBRC 100436	culture_number
str10096	DSM 11113	culture_number
str10096	JCM 10136	culture_number
str10098	DSM 2639	culture_number
str10099	AS 1.2184	culture_number
str10099	ATCC 9689	culture_number
str10099	BCRC 10642	culture_number
str10099	CCRC 10642	culture_number
str10099	CCUG 4938	culture_number
str10099	CECT 531	culture_number
str10099	CIP 104282	culture_number
str10099	DSM 1296	culture_number
str10099	JCM 1296	culture_number
str10099	KCTC 3264	culture_number
str10099	KCTC 5009	culture_number
str10099	LMG 15861	culture_number
str10099	LMG 21717	culture_number
str10099	NCIB 10666	culture_number
str10099	NCIMB 10666	culture_number
str10099	NCTC 11209	culture_number
str10099	VTT E-001746	culture_number
str10099	VTT E-011964	culture_number
str10105	ATCC 33500	culture_number
str10105	BCRC 15765	culture_number
str10105	CCM 3361	culture_number
str10105	CCRC 15765	culture_number
str10105	CGMCC 1.2087	culture_number
str10105	CGMCC 1.2143	culture_number
str10105	CGMCC 1.2630	culture_number
str10105	DSM 1411	culture_number
str10105	IAM 13647	culture_number
str10105	IFO 14739	culture_number
str10105	JCM 8866	culture_number
str10105	NBRC 14739	culture_number
str10105	NCIMB 2177	culture_number
str10105	NCMB 2177	culture_number
str10105	VKM B-1538	culture_number
str10105	VKM B-1748	culture_number
str10106	ATCC 43021	culture_number
str10106	DSM 3091	culture_number
str10106	JCM 11832	culture_number
str10108	AS 1.219	culture_number
str10108	AS 1.2198	culture_number
str10108	ATCC 35960	culture_number
str10108	CGMCC 1.2149	culture_number
str10108	CGMCC 1.2198	culture_number
str10108	DSM 4425	culture_number
str10108	JCM 8864	culture_number
str10108	NCIMB 13115	culture_number
str10108	VKM B-1754	culture_number
str10109	ATCC 700844	culture_number
str10109	DSM 13496	culture_number
str10109	JCM 10307	culture_number
str10111	DSM 12446	culture_number
str10111	JCM 15788	culture_number
str10112	DSM 18680	culture_number
str10112	JCM 14380	culture_number
str10113	DSM 19102	culture_number
str10114	ATCC 50299	culture_number
str10117	ATCC 700394	culture_number
str10117	DSM 18823	culture_number
str10118	ATCC 700615	culture_number
str10118	DSM 15326	culture_number
str10118	KCTC 5193	culture_number
str10119	ATCC 43255	culture_number
str10119	CCUG 19126	culture_number
str10119	CIP 109240	culture_number
str10123	ATCC BAA-946	culture_number
str10124	CIP 107932	culture_number
str10126	ATCC 700455	culture_number
str10126	DSM 5456	culture_number
str10126	JCM 9403	culture_number
str10127	ATCC 33960	culture_number
str10127	CCM 3601	culture_number
str10127	CGMCC 1.2049	culture_number
str10127	DSM 4426	culture_number
str10127	IAM 13179	culture_number
str10127	JCM 8911	culture_number
str10127	NBRC 102182	culture_number
str10127	NCIMB 2187	culture_number
str10127	NCMB 2187	culture_number
str10127	VKM B-1755	culture_number
str10128	ATCC 25618	culture_number
str10128	ATCC 27294	culture_number
str10128	ATCC 9360	culture_number
str10128	CCUG 37357	culture_number
str10128	CCUG 38148	culture_number
str10128	CIP 104475	culture_number
str10128	CIP 64.31	culture_number
str10128	CNCTC 7301	culture_number
str10128	NCTC 13144	culture_number
str10128	NCTC 7416	culture_number
str10129	ATCC 34679	culture_number
str10130	ATCC 700388	culture_number
str10130	CBMAI 690	culture_number
str10130	CCUG 48851	culture_number
str10130	CIP 106301	culture_number
str10130	DSM 13276	culture_number
str10130	LMG 20219	culture_number
str10130	VTT E-082813	culture_number
str10132	ATCC 700922	culture_number
str10132	CCAP 1450/4	culture_number
str10132	CCAP 1450/6	culture_number
str10132	JCM 11081	culture_number
str10132	NIES 933	culture_number
str10132	PCC 7941	culture_number
str10132	SAG 14.85	culture_number
str10132	UTEX 2385	culture_number
str10132	UTEX 2386	culture_number
str10135	DSM 18386	culture_number
str10135	JCM 14125	culture_number
str10136	CCUG 46511	culture_number
str10136	CECT 5993	culture_number
str10136	CIP 108096	culture_number
str10136	DSM 44791	culture_number
str10136	JCM 12268	culture_number
str10140	ATCC 90779	culture_number
str10141	ATCC 21808	culture_number
str10141	BCRC 15993	culture_number
str10141	CCRC 15993	culture_number
str10141	NCIMB 12719	culture_number
str10143	DSM 6898	culture_number
str10143	NBRC 107771	culture_number
str10146	DSM 27260	culture_number
str10147	CCM 2148	culture_number
str10147	CECT 395	culture_number
str10147	JCM 9118	culture_number
str10148	RCC 1344	culture_number
str10149	CECT 7217	culture_number
str10149	DSM 18796	culture_number
str10149	JCM 14584	culture_number
str10149	KCTC 4019	culture_number
str10150	DSM 2475	culture_number
str10151	AS 1.2151	culture_number
str10151	CCM 7023	culture_number
str10151	CECT 5871	culture_number
str10151	CGMCC 1.2151	culture_number
str10151	CIP 107410	culture_number
str10151	DSM 14919	culture_number
str10151	JCM 9276	culture_number
str10151	NCIMB 13854	culture_number
str10153	ACM 3107	culture_number
str10153	ATCC 49239	culture_number
str10153	CIP 105334	culture_number
str10153	DSM 5036	culture_number
str10153	JCM 8891	culture_number
str10153	NCIMB 12997	culture_number
str10153	VKM B-1753	culture_number
str10156	DSM 100377	culture_number
str10159	ATCC 700388	culture_number
str10159	CBMAI 690	culture_number
str10159	CCUG 48851	culture_number
str10159	CIP 106301	culture_number
str10159	DSM 13276	culture_number
str10159	LMG 20219	culture_number
str10159	VTT E-082813	culture_number
str10161	DSM 18924	culture_number
str10163	DSM 16705	culture_number
str10164	ATCC 27550	culture_number
str10164	NCPPB 1066	culture_number
str10165	ATCC 35063	culture_number
str10165	DSM 1093	culture_number
str10165	JCM 13430	culture_number
str10167	DSM 6194	culture_number
str10167	JCM 14653	culture_number
str10167	NBRC 101360	culture_number
str10170	ATCC MYA-1940	culture_number
str10172	ATCC 367	culture_number
str10172	BCRC 12310	culture_number
str10172	CCRC 12310	culture_number
str10172	CCUG 36840	culture_number
str10172	CDBB 66	culture_number
str10172	CECT 5354	culture_number
str10172	CGMCC 1.2028	culture_number
str10172	CIP 105137	culture_number
str10172	JCM 1170	culture_number
str10172	LMG 11437	culture_number
str10172	NCDO 477	culture_number
str10172	NCFB 477	culture_number
str10172	NCIB 367	culture_number
str10172	NCIB 8169	culture_number
str10172	NCIB 947	culture_number
str10172	NCIM 2356	culture_number
str10172	NCIMB 8169	culture_number
str10172	NCIMB 947	culture_number
str10172	NCTC 947	culture_number
str10172	VKM B-572	culture_number
str10172	VTT E-82152	culture_number
str10177	ATCC 33222	culture_number
str10177	BCRC 14031	culture_number
str10177	CCRC 14031	culture_number
str10177	NCIMB 12275	culture_number
str10179	ATCC 334	culture_number
str10179	BCRC 17002	culture_number
